Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Elk,Pennsylvania,0,0,US
2020-01-23,Elk,Pennsylvania,0,0,US
2020-01-24,Elk,Pennsylvania,0,0,US
2020-01-25,Elk,Pennsylvania,0,0,US
2020-01-26,Elk,Pennsylvania,0,0,US
2020-01-27,Elk,Pennsylvania,0,0,US
2020-01-28,Elk,Pennsylvania,0,0,US
2020-01-29,Elk,Pennsylvania,0,0,US
2020-01-30,Elk,Pennsylvania,0,0,US
2020-01-31,Elk,Pennsylvania,0,0,US
2020-02-01,Elk,Pennsylvania,0,0,US
2020-02-02,Elk,Pennsylvania,0,0,US
2020-02-03,Elk,Pennsylvania,0,0,US
2020-02-04,Elk,Pennsylvania,0,0,US
2020-02-05,Elk,Pennsylvania,0,0,US
2020-02-06,Elk,Pennsylvania,0,0,US
2020-02-07,Elk,Pennsylvania,0,0,US
2020-02-08,Elk,Pennsylvania,0,0,US
2020-02-09,Elk,Pennsylvania,0,0,US
2020-02-10,Elk,Pennsylvania,0,0,US
2020-02-11,Elk,Pennsylvania,0,0,US
2020-02-12,Elk,Pennsylvania,0,0,US
2020-02-13,Elk,Pennsylvania,0,0,US
2020-02-14,Elk,Pennsylvania,0,0,US
2020-02-15,Elk,Pennsylvania,0,0,US
2020-02-16,Elk,Pennsylvania,0,0,US
2020-02-17,Elk,Pennsylvania,0,0,US
2020-02-18,Elk,Pennsylvania,0,0,US
2020-02-19,Elk,Pennsylvania,0,0,US
2020-02-20,Elk,Pennsylvania,0,0,US
2020-02-21,Elk,Pennsylvania,0,0,US
2020-02-22,Elk,Pennsylvania,0,0,US
2020-02-23,Elk,Pennsylvania,0,0,US
2020-02-24,Elk,Pennsylvania,0,0,US
2020-02-25,Elk,Pennsylvania,0,0,US
2020-02-26,Elk,Pennsylvania,0,0,US
2020-02-27,Elk,Pennsylvania,0,0,US
2020-02-28,Elk,Pennsylvania,0,0,US
2020-02-29,Elk,Pennsylvania,0,0,US
2020-03-01,Elk,Pennsylvania,0,0,US
2020-03-02,Elk,Pennsylvania,0,0,US
2020-03-03,Elk,Pennsylvania,0,0,US
2020-03-04,Elk,Pennsylvania,0,0,US
2020-03-05,Elk,Pennsylvania,0,0,US
2020-03-06,Elk,Pennsylvania,0,0,US
2020-03-07,Elk,Pennsylvania,0,0,US
2020-03-08,Elk,Pennsylvania,0,0,US
2020-03-09,Elk,Pennsylvania,0,0,US
2020-03-10,Elk,Pennsylvania,0,0,US
2020-03-11,Elk,Pennsylvania,0,0,US
2020-03-12,Elk,Pennsylvania,0,0,US
2020-03-13,Elk,Pennsylvania,0,0,US
2020-03-14,Elk,Pennsylvania,0,0,US
2020-03-15,Elk,Pennsylvania,0,0,US
2020-03-16,Elk,Pennsylvania,0,0,US
2020-03-17,Elk,Pennsylvania,0,0,US
2020-03-18,Elk,Pennsylvania,0,0,US
2020-03-19,Elk,Pennsylvania,0,0,US
2020-03-20,Elk,Pennsylvania,0,0,US
2020-03-21,Elk,Pennsylvania,0,0,US
2020-03-22,Elk,Pennsylvania,0,0,US
2020-03-23,Elk,Pennsylvania,0,0,US
2020-03-24,Elk,Pennsylvania,0,0,US
2020-03-25,Elk,Pennsylvania,0,0,US
2020-03-26,Elk,Pennsylvania,0,0,US
2020-03-27,Elk,Pennsylvania,0,0,US
2020-03-28,Elk,Pennsylvania,0,0,US
2020-03-29,Elk,Pennsylvania,0,0,US
2020-03-30,Elk,Pennsylvania,0,0,US
2020-03-31,Elk,Pennsylvania,0,0,US
2020-04-01,Elk,Pennsylvania,0,0,US
2020-04-02,Elk,Pennsylvania,0,0,US
2020-04-03,Elk,Pennsylvania,0,0,US
2020-04-04,Elk,Pennsylvania,0,0,US
2020-04-05,Elk,Pennsylvania,0,0,US
2020-04-06,Elk,Pennsylvania,0,0,US
2020-04-07,Elk,Pennsylvania,2,0,US
2020-04-08,Elk,Pennsylvania,3,0,US
2020-04-09,Elk,Pennsylvania,3,0,US
2020-04-10,Elk,Pennsylvania,3,0,US
2020-04-11,Elk,Pennsylvania,3,0,US
2020-04-12,Elk,Pennsylvania,3,0,US
2020-04-13,Elk,Pennsylvania,3,0,US
2020-04-14,Elk,Pennsylvania,3,0,US
2020-04-15,Elk,Pennsylvania,3,0,US
2020-04-16,Elk,Pennsylvania,3,0,US
2020-04-17,Elk,Pennsylvania,3,0,US
2020-04-18,Elk,Pennsylvania,3,0,US
2020-04-19,Elk,Pennsylvania,3,0,US
2020-04-20,Elk,Pennsylvania,3,0,US
2020-04-21,Elk,Pennsylvania,3,0,US
2020-04-22,Elk,Pennsylvania,3,0,US
2020-04-23,Elk,Pennsylvania,3,0,US
2020-04-24,Elk,Pennsylvania,3,0,US
2020-04-25,Elk,Pennsylvania,3,0,US
2020-04-26,Elk,Pennsylvania,4,0,US
2020-04-27,Elk,Pennsylvania,4,0,US
2020-04-28,Elk,Pennsylvania,4,0,US
2020-04-29,Elk,Pennsylvania,4,0,US
2020-04-30,Elk,Pennsylvania,5,0,US
2020-05-01,Elk,Pennsylvania,5,0,US
2020-05-02,Elk,Pennsylvania,5,0,US
2020-05-03,Elk,Pennsylvania,5,0,US
2020-05-04,Elk,Pennsylvania,5,0,US
2020-05-05,Elk,Pennsylvania,5,0,US
2020-05-06,Elk,Pennsylvania,5,0,US
2020-05-07,Elk,Pennsylvania,5,1,US
2020-05-08,Elk,Pennsylvania,5,1,US
2020-05-09,Elk,Pennsylvania,5,1,US
2020-05-10,Elk,Pennsylvania,5,1,US
2020-05-11,Elk,Pennsylvania,5,1,US
2020-05-12,Elk,Pennsylvania,5,1,US
2020-05-13,Elk,Pennsylvania,5,1,US
2020-05-14,Elk,Pennsylvania,5,1,US
2020-05-15,Elk,Pennsylvania,5,1,US
2020-05-16,Elk,Pennsylvania,5,1,US
2020-05-17,Elk,Pennsylvania,5,1,US
2020-05-18,Elk,Pennsylvania,5,0,US
2020-05-19,Elk,Pennsylvania,5,0,US
2020-05-20,Elk,Pennsylvania,5,0,US
2020-05-21,Elk,Pennsylvania,5,0,US
2020-05-22,Elk,Pennsylvania,5,0,US
2020-05-23,Elk,Pennsylvania,5,0,US
2020-05-24,Elk,Pennsylvania,5,0,US
2020-05-25,Elk,Pennsylvania,5,0,US
2020-05-26,Elk,Pennsylvania,5,0,US
2020-05-27,Elk,Pennsylvania,5,0,US
2020-05-28,Elk,Pennsylvania,5,0,US
2020-05-29,Elk,Pennsylvania,5,0,US
2020-05-30,Elk,Pennsylvania,5,0,US
