Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Greene,Virginia,0,0,US
2020-01-23,Greene,Virginia,0,0,US
2020-01-24,Greene,Virginia,0,0,US
2020-01-25,Greene,Virginia,0,0,US
2020-01-26,Greene,Virginia,0,0,US
2020-01-27,Greene,Virginia,0,0,US
2020-01-28,Greene,Virginia,0,0,US
2020-01-29,Greene,Virginia,0,0,US
2020-01-30,Greene,Virginia,0,0,US
2020-01-31,Greene,Virginia,0,0,US
2020-02-01,Greene,Virginia,0,0,US
2020-02-02,Greene,Virginia,0,0,US
2020-02-03,Greene,Virginia,0,0,US
2020-02-04,Greene,Virginia,0,0,US
2020-02-05,Greene,Virginia,0,0,US
2020-02-06,Greene,Virginia,0,0,US
2020-02-07,Greene,Virginia,0,0,US
2020-02-08,Greene,Virginia,0,0,US
2020-02-09,Greene,Virginia,0,0,US
2020-02-10,Greene,Virginia,0,0,US
2020-02-11,Greene,Virginia,0,0,US
2020-02-12,Greene,Virginia,0,0,US
2020-02-13,Greene,Virginia,0,0,US
2020-02-14,Greene,Virginia,0,0,US
2020-02-15,Greene,Virginia,0,0,US
2020-02-16,Greene,Virginia,0,0,US
2020-02-17,Greene,Virginia,0,0,US
2020-02-18,Greene,Virginia,0,0,US
2020-02-19,Greene,Virginia,0,0,US
2020-02-20,Greene,Virginia,0,0,US
2020-02-21,Greene,Virginia,0,0,US
2020-02-22,Greene,Virginia,0,0,US
2020-02-23,Greene,Virginia,0,0,US
2020-02-24,Greene,Virginia,0,0,US
2020-02-25,Greene,Virginia,0,0,US
2020-02-26,Greene,Virginia,0,0,US
2020-02-27,Greene,Virginia,0,0,US
2020-02-28,Greene,Virginia,0,0,US
2020-02-29,Greene,Virginia,0,0,US
2020-03-01,Greene,Virginia,0,0,US
2020-03-02,Greene,Virginia,0,0,US
2020-03-03,Greene,Virginia,0,0,US
2020-03-04,Greene,Virginia,0,0,US
2020-03-05,Greene,Virginia,0,0,US
2020-03-06,Greene,Virginia,0,0,US
2020-03-07,Greene,Virginia,0,0,US
2020-03-08,Greene,Virginia,0,0,US
2020-03-09,Greene,Virginia,0,0,US
2020-03-10,Greene,Virginia,0,0,US
2020-03-11,Greene,Virginia,0,0,US
2020-03-12,Greene,Virginia,0,0,US
2020-03-13,Greene,Virginia,0,0,US
2020-03-14,Greene,Virginia,0,0,US
2020-03-15,Greene,Virginia,0,0,US
2020-03-16,Greene,Virginia,0,0,US
2020-03-17,Greene,Virginia,0,0,US
2020-03-18,Greene,Virginia,0,0,US
2020-03-19,Greene,Virginia,0,0,US
2020-03-20,Greene,Virginia,0,0,US
2020-03-21,Greene,Virginia,0,0,US
2020-03-22,Greene,Virginia,0,0,US
2020-03-23,Greene,Virginia,0,0,US
2020-03-24,Greene,Virginia,0,0,US
2020-03-25,Greene,Virginia,0,0,US
2020-03-26,Greene,Virginia,0,0,US
