Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Out of MI,Michigan,0,0,US
2020-01-23,Out of MI,Michigan,0,0,US
2020-01-24,Out of MI,Michigan,0,0,US
2020-01-25,Out of MI,Michigan,0,0,US
2020-01-26,Out of MI,Michigan,0,0,US
2020-01-27,Out of MI,Michigan,0,0,US
2020-01-28,Out of MI,Michigan,0,0,US
2020-01-29,Out of MI,Michigan,0,0,US
2020-01-30,Out of MI,Michigan,0,0,US
2020-01-31,Out of MI,Michigan,0,0,US
2020-02-01,Out of MI,Michigan,0,0,US
2020-02-02,Out of MI,Michigan,0,0,US
2020-02-03,Out of MI,Michigan,0,0,US
2020-02-04,Out of MI,Michigan,0,0,US
2020-02-05,Out of MI,Michigan,0,0,US
2020-02-06,Out of MI,Michigan,0,0,US
2020-02-07,Out of MI,Michigan,0,0,US
2020-02-08,Out of MI,Michigan,0,0,US
2020-02-09,Out of MI,Michigan,0,0,US
2020-02-10,Out of MI,Michigan,0,0,US
2020-02-11,Out of MI,Michigan,0,0,US
2020-02-12,Out of MI,Michigan,0,0,US
2020-02-13,Out of MI,Michigan,0,0,US
2020-02-14,Out of MI,Michigan,0,0,US
2020-02-15,Out of MI,Michigan,0,0,US
2020-02-16,Out of MI,Michigan,0,0,US
2020-02-17,Out of MI,Michigan,0,0,US
2020-02-18,Out of MI,Michigan,0,0,US
2020-02-19,Out of MI,Michigan,0,0,US
2020-02-20,Out of MI,Michigan,0,0,US
2020-02-21,Out of MI,Michigan,0,0,US
2020-02-22,Out of MI,Michigan,0,0,US
2020-02-23,Out of MI,Michigan,0,0,US
2020-02-24,Out of MI,Michigan,0,0,US
2020-02-25,Out of MI,Michigan,0,0,US
2020-02-26,Out of MI,Michigan,0,0,US
2020-02-27,Out of MI,Michigan,0,0,US
2020-02-28,Out of MI,Michigan,0,0,US
2020-02-29,Out of MI,Michigan,0,0,US
2020-03-01,Out of MI,Michigan,0,0,US
2020-03-02,Out of MI,Michigan,0,0,US
2020-03-03,Out of MI,Michigan,0,0,US
2020-03-04,Out of MI,Michigan,0,0,US
2020-03-05,Out of MI,Michigan,0,0,US
2020-03-06,Out of MI,Michigan,0,0,US
2020-03-07,Out of MI,Michigan,0,0,US
2020-03-08,Out of MI,Michigan,0,0,US
2020-03-09,Out of MI,Michigan,0,0,US
2020-03-10,Out of MI,Michigan,0,0,US
2020-03-11,Out of MI,Michigan,0,0,US
2020-03-12,Out of MI,Michigan,0,0,US
2020-03-13,Out of MI,Michigan,0,0,US
2020-03-14,Out of MI,Michigan,0,0,US
2020-03-15,Out of MI,Michigan,0,0,US
2020-03-16,Out of MI,Michigan,0,0,US
2020-03-17,Out of MI,Michigan,0,0,US
2020-03-18,Out of MI,Michigan,0,0,US
2020-03-19,Out of MI,Michigan,0,0,US
2020-03-20,Out of MI,Michigan,0,0,US
2020-03-21,Out of MI,Michigan,0,0,US
2020-03-22,Out of MI,Michigan,0,0,US
2020-03-23,Out of MI,Michigan,4,0,US
2020-03-24,Out of MI,Michigan,6,0,US
2020-03-25,Out of MI,Michigan,7,0,US
2020-03-26,Out of MI,Michigan,7,0,US
2020-03-27,Out of MI,Michigan,8,0,US
2020-03-28,Out of MI,Michigan,15,0,US
2020-03-29,Out of MI,Michigan,18,0,US
2020-03-30,Out of MI,Michigan,17,0,US
2020-03-31,Out of MI,Michigan,20,0,US
2020-04-01,Out of MI,Michigan,42,1,US
2020-04-02,Out of MI,Michigan,48,1,US
2020-04-03,Out of MI,Michigan,74,1,US
2020-04-04,Out of MI,Michigan,83,1,US
2020-04-05,Out of MI,Michigan,83,1,US
2020-04-06,Out of MI,Michigan,91,1,US
2020-04-07,Out of MI,Michigan,118,1,US
2020-04-08,Out of MI,Michigan,126,1,US
2020-04-09,Out of MI,Michigan,131,1,US
2020-04-10,Out of MI,Michigan,137,1,US
2020-04-11,Out of MI,Michigan,140,1,US
2020-04-12,Out of MI,Michigan,144,1,US
2020-04-13,Out of MI,Michigan,148,1,US
2020-04-14,Out of MI,Michigan,157,2,US
2020-04-15,Out of MI,Michigan,166,2,US
2020-04-16,Out of MI,Michigan,166,2,US
2020-04-17,Out of MI,Michigan,71,2,US
2020-04-18,Out of MI,Michigan,74,2,US
2020-04-19,Out of MI,Michigan,76,2,US
2020-04-20,Out of MI,Michigan,69,2,US
2020-04-21,Out of MI,Michigan,69,2,US
2020-04-22,Out of MI,Michigan,37,1,US
2020-04-23,Out of MI,Michigan,39,0,US
2020-04-24,Out of MI,Michigan,39,1,US
2020-04-25,Out of MI,Michigan,19,1,US
2020-04-26,Out of MI,Michigan,27,1,US
2020-04-27,Out of MI,Michigan,20,1,US
2020-04-28,Out of MI,Michigan,28,1,US
2020-04-29,Out of MI,Michigan,39,0,US
2020-04-30,Out of MI,Michigan,32,1,US
2020-05-01,Out of MI,Michigan,8,0,US
2020-05-02,Out of MI,Michigan,16,0,US
2020-05-03,Out of MI,Michigan,18,0,US
2020-05-04,Out of MI,Michigan,22,0,US
2020-05-05,Out of MI,Michigan,64,0,US
2020-05-06,Out of MI,Michigan,64,0,US
2020-05-07,Out of MI,Michigan,64,0,US
2020-05-08,Out of MI,Michigan,7,0,US
2020-05-09,Out of MI,Michigan,21,0,US
2020-05-10,Out of MI,Michigan,22,0,US
2020-05-11,Out of MI,Michigan,26,0,US
2020-05-12,Out of MI,Michigan,75,0,US
2020-05-13,Out of MI,Michigan,84,0,US
2020-05-14,Out of MI,Michigan,93,0,US
2020-05-15,Out of MI,Michigan,97,0,US
2020-05-16,Out of MI,Michigan,97,0,US
2020-05-17,Out of MI,Michigan,88,0,US
2020-05-18,Out of MI,Michigan,62,0,US
2020-05-19,Out of MI,Michigan,13,0,US
2020-05-20,Out of MI,Michigan,21,0,US
2020-05-21,Out of MI,Michigan,42,0,US
2020-05-22,Out of MI,Michigan,48,0,US
2020-05-23,Out of MI,Michigan,61,0,US
2020-05-24,Out of MI,Michigan,63,0,US
2020-05-25,Out of MI,Michigan,65,0,US
2020-05-26,Out of MI,Michigan,64,0,US
2020-05-27,Out of MI,Michigan,64,0,US
2020-05-28,Out of MI,Michigan,70,0,US
2020-05-29,Out of MI,Michigan,32,0,US
2020-05-30,Out of MI,Michigan,36,0,US
2020-05-31,Out of MI,Michigan,42,0,US
2020-06-01,Out of MI,Michigan,42,0,US
2020-06-02,Out of MI,Michigan,42,0,US
2020-06-03,Out of MI,Michigan,45,0,US
2020-06-04,Out of MI,Michigan,30,0,US
2020-06-05,Out of MI,Michigan,22,0,US
2020-06-06,Out of MI,Michigan,22,0,US
2020-06-07,Out of MI,Michigan,22,0,US
2020-06-08,Out of MI,Michigan,23,0,US
2020-06-09,Out of MI,Michigan,23,0,US
2020-06-10,Out of MI,Michigan,23,0,US
2020-06-11,Out of MI,Michigan,30,0,US
2020-06-12,Out of MI,Michigan,36,0,US
2020-06-13,Out of MI,Michigan,44,0,US
2020-06-14,Out of MI,Michigan,47,0,US
2020-06-15,Out of MI,Michigan,34,0,US
2020-06-16,Out of MI,Michigan,35,0,US
2020-06-17,Out of MI,Michigan,40,0,US
2020-06-18,Out of MI,Michigan,41,0,US
2020-06-19,Out of MI,Michigan,41,0,US
2020-06-20,Out of MI,Michigan,51,0,US
2020-06-21,Out of MI,Michigan,53,0,US
2020-06-22,Out of MI,Michigan,59,0,US
2020-06-23,Out of MI,Michigan,64,0,US
2020-06-24,Out of MI,Michigan,65,0,US
2020-06-25,Out of MI,Michigan,70,0,US
2020-06-26,Out of MI,Michigan,81,0,US
2020-06-27,Out of MI,Michigan,90,0,US
2020-06-28,Out of MI,Michigan,96,0,US
2020-06-29,Out of MI,Michigan,99,0,US
2020-06-30,Out of MI,Michigan,104,0,US
2020-07-01,Out of MI,Michigan,38,0,US
2020-07-02,Out of MI,Michigan,45,0,US
2020-07-03,Out of MI,Michigan,64,0,US
2020-07-04,Out of MI,Michigan,75,0,US
