Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Haskell,Oklahoma,0,0,US
2020-01-23,Haskell,Oklahoma,0,0,US
2020-01-24,Haskell,Oklahoma,0,0,US
2020-01-25,Haskell,Oklahoma,0,0,US
2020-01-26,Haskell,Oklahoma,0,0,US
2020-01-27,Haskell,Oklahoma,0,0,US
2020-01-28,Haskell,Oklahoma,0,0,US
2020-01-29,Haskell,Oklahoma,0,0,US
2020-01-30,Haskell,Oklahoma,0,0,US
2020-01-31,Haskell,Oklahoma,0,0,US
2020-02-01,Haskell,Oklahoma,0,0,US
2020-02-02,Haskell,Oklahoma,0,0,US
2020-02-03,Haskell,Oklahoma,0,0,US
2020-02-04,Haskell,Oklahoma,0,0,US
2020-02-05,Haskell,Oklahoma,0,0,US
2020-02-06,Haskell,Oklahoma,0,0,US
2020-02-07,Haskell,Oklahoma,0,0,US
2020-02-08,Haskell,Oklahoma,0,0,US
2020-02-09,Haskell,Oklahoma,0,0,US
2020-02-10,Haskell,Oklahoma,0,0,US
2020-02-11,Haskell,Oklahoma,0,0,US
2020-02-12,Haskell,Oklahoma,0,0,US
2020-02-13,Haskell,Oklahoma,0,0,US
2020-02-14,Haskell,Oklahoma,0,0,US
2020-02-15,Haskell,Oklahoma,0,0,US
2020-02-16,Haskell,Oklahoma,0,0,US
2020-02-17,Haskell,Oklahoma,0,0,US
2020-02-18,Haskell,Oklahoma,0,0,US
2020-02-19,Haskell,Oklahoma,0,0,US
2020-02-20,Haskell,Oklahoma,0,0,US
2020-02-21,Haskell,Oklahoma,0,0,US
2020-02-22,Haskell,Oklahoma,0,0,US
2020-02-23,Haskell,Oklahoma,0,0,US
2020-02-24,Haskell,Oklahoma,0,0,US
2020-02-25,Haskell,Oklahoma,0,0,US
2020-02-26,Haskell,Oklahoma,0,0,US
2020-02-27,Haskell,Oklahoma,0,0,US
2020-02-28,Haskell,Oklahoma,0,0,US
2020-02-29,Haskell,Oklahoma,0,0,US
2020-03-01,Haskell,Oklahoma,0,0,US
2020-03-02,Haskell,Oklahoma,0,0,US
2020-03-03,Haskell,Oklahoma,0,0,US
2020-03-04,Haskell,Oklahoma,0,0,US
2020-03-05,Haskell,Oklahoma,0,0,US
2020-03-06,Haskell,Oklahoma,0,0,US
2020-03-07,Haskell,Oklahoma,0,0,US
2020-03-08,Haskell,Oklahoma,0,0,US
2020-03-09,Haskell,Oklahoma,0,0,US
2020-03-10,Haskell,Oklahoma,0,0,US
2020-03-11,Haskell,Oklahoma,0,0,US
2020-03-12,Haskell,Oklahoma,0,0,US
2020-03-13,Haskell,Oklahoma,0,0,US
2020-03-14,Haskell,Oklahoma,0,0,US
2020-03-15,Haskell,Oklahoma,0,0,US
2020-03-16,Haskell,Oklahoma,0,0,US
2020-03-17,Haskell,Oklahoma,0,0,US
2020-03-18,Haskell,Oklahoma,0,0,US
2020-03-19,Haskell,Oklahoma,0,0,US
2020-03-20,Haskell,Oklahoma,0,0,US
2020-03-21,Haskell,Oklahoma,0,0,US
2020-03-22,Haskell,Oklahoma,0,0,US
2020-03-23,Haskell,Oklahoma,0,0,US
2020-03-24,Haskell,Oklahoma,0,0,US
2020-03-25,Haskell,Oklahoma,0,0,US
2020-03-26,Haskell,Oklahoma,0,0,US
2020-03-27,Haskell,Oklahoma,0,0,US
2020-03-28,Haskell,Oklahoma,0,0,US
2020-03-29,Haskell,Oklahoma,0,0,US
2020-03-30,Haskell,Oklahoma,0,0,US
2020-03-31,Haskell,Oklahoma,0,0,US
2020-04-01,Haskell,Oklahoma,0,0,US
2020-04-02,Haskell,Oklahoma,0,0,US
2020-04-03,Haskell,Oklahoma,0,0,US
2020-04-04,Haskell,Oklahoma,0,0,US
2020-04-05,Haskell,Oklahoma,0,0,US
2020-04-06,Haskell,Oklahoma,0,0,US
2020-04-07,Haskell,Oklahoma,0,0,US
2020-04-08,Haskell,Oklahoma,0,0,US
2020-04-09,Haskell,Oklahoma,0,0,US
2020-04-10,Haskell,Oklahoma,0,0,US
2020-04-11,Haskell,Oklahoma,0,0,US
2020-04-12,Haskell,Oklahoma,0,0,US
2020-04-13,Haskell,Oklahoma,0,0,US
2020-04-14,Haskell,Oklahoma,0,0,US
2020-04-15,Haskell,Oklahoma,0,0,US
2020-04-16,Haskell,Oklahoma,0,0,US
2020-04-17,Haskell,Oklahoma,0,0,US
2020-04-18,Haskell,Oklahoma,0,0,US
2020-04-19,Haskell,Oklahoma,2,0,US
2020-04-20,Haskell,Oklahoma,2,0,US
2020-04-21,Haskell,Oklahoma,3,0,US
2020-04-22,Haskell,Oklahoma,3,0,US
2020-04-23,Haskell,Oklahoma,3,0,US
2020-04-24,Haskell,Oklahoma,3,0,US
2020-04-25,Haskell,Oklahoma,3,0,US
2020-04-26,Haskell,Oklahoma,5,0,US
2020-04-27,Haskell,Oklahoma,5,0,US
2020-04-28,Haskell,Oklahoma,5,0,US
2020-04-29,Haskell,Oklahoma,4,0,US
2020-04-30,Haskell,Oklahoma,4,0,US
2020-05-01,Haskell,Oklahoma,4,0,US
2020-05-02,Haskell,Oklahoma,5,0,US
2020-05-03,Haskell,Oklahoma,5,0,US
2020-05-04,Haskell,Oklahoma,5,0,US
2020-05-05,Haskell,Oklahoma,5,0,US
2020-05-06,Haskell,Oklahoma,5,0,US
2020-05-07,Haskell,Oklahoma,5,0,US
2020-05-08,Haskell,Oklahoma,5,0,US
2020-05-09,Haskell,Oklahoma,5,0,US
2020-05-10,Haskell,Oklahoma,5,0,US
2020-05-11,Haskell,Oklahoma,5,0,US
2020-05-12,Haskell,Oklahoma,5,0,US
2020-05-13,Haskell,Oklahoma,5,0,US
2020-05-14,Haskell,Oklahoma,5,0,US
2020-05-15,Haskell,Oklahoma,5,0,US
2020-05-16,Haskell,Oklahoma,5,0,US
2020-05-17,Haskell,Oklahoma,5,0,US
2020-05-18,Haskell,Oklahoma,5,0,US
2020-05-19,Haskell,Oklahoma,5,0,US
2020-05-20,Haskell,Oklahoma,6,0,US
2020-05-21,Haskell,Oklahoma,6,0,US
2020-05-22,Haskell,Oklahoma,6,0,US
2020-05-23,Haskell,Oklahoma,6,0,US
2020-05-24,Haskell,Oklahoma,6,0,US
2020-05-25,Haskell,Oklahoma,6,0,US
2020-05-26,Haskell,Oklahoma,6,0,US
2020-05-27,Haskell,Oklahoma,6,0,US
2020-05-28,Haskell,Oklahoma,6,0,US
2020-05-29,Haskell,Oklahoma,6,0,US
2020-05-30,Haskell,Oklahoma,6,0,US
2020-05-31,Haskell,Oklahoma,6,0,US
2020-06-01,Haskell,Oklahoma,6,0,US
2020-06-02,Haskell,Oklahoma,6,0,US
2020-06-03,Haskell,Oklahoma,6,0,US
2020-06-04,Haskell,Oklahoma,6,0,US
