Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Palo Alto,Iowa,0,0,US
2020-01-23,Palo Alto,Iowa,0,0,US
2020-01-24,Palo Alto,Iowa,0,0,US
2020-01-25,Palo Alto,Iowa,0,0,US
2020-01-26,Palo Alto,Iowa,0,0,US
2020-01-27,Palo Alto,Iowa,0,0,US
2020-01-28,Palo Alto,Iowa,0,0,US
2020-01-29,Palo Alto,Iowa,0,0,US
2020-01-30,Palo Alto,Iowa,0,0,US
2020-01-31,Palo Alto,Iowa,0,0,US
2020-02-01,Palo Alto,Iowa,0,0,US
2020-02-02,Palo Alto,Iowa,0,0,US
2020-02-03,Palo Alto,Iowa,0,0,US
2020-02-04,Palo Alto,Iowa,0,0,US
2020-02-05,Palo Alto,Iowa,0,0,US
2020-02-06,Palo Alto,Iowa,0,0,US
2020-02-07,Palo Alto,Iowa,0,0,US
2020-02-08,Palo Alto,Iowa,0,0,US
2020-02-09,Palo Alto,Iowa,0,0,US
2020-02-10,Palo Alto,Iowa,0,0,US
2020-02-11,Palo Alto,Iowa,0,0,US
2020-02-12,Palo Alto,Iowa,0,0,US
2020-02-13,Palo Alto,Iowa,0,0,US
2020-02-14,Palo Alto,Iowa,0,0,US
2020-02-15,Palo Alto,Iowa,0,0,US
2020-02-16,Palo Alto,Iowa,0,0,US
2020-02-17,Palo Alto,Iowa,0,0,US
2020-02-18,Palo Alto,Iowa,0,0,US
2020-02-19,Palo Alto,Iowa,0,0,US
2020-02-20,Palo Alto,Iowa,0,0,US
2020-02-21,Palo Alto,Iowa,0,0,US
2020-02-22,Palo Alto,Iowa,0,0,US
2020-02-23,Palo Alto,Iowa,0,0,US
2020-02-24,Palo Alto,Iowa,0,0,US
2020-02-25,Palo Alto,Iowa,0,0,US
2020-02-26,Palo Alto,Iowa,0,0,US
2020-02-27,Palo Alto,Iowa,0,0,US
2020-02-28,Palo Alto,Iowa,0,0,US
2020-02-29,Palo Alto,Iowa,0,0,US
2020-03-01,Palo Alto,Iowa,0,0,US
2020-03-02,Palo Alto,Iowa,0,0,US
2020-03-03,Palo Alto,Iowa,0,0,US
2020-03-04,Palo Alto,Iowa,0,0,US
2020-03-05,Palo Alto,Iowa,0,0,US
2020-03-06,Palo Alto,Iowa,0,0,US
2020-03-07,Palo Alto,Iowa,0,0,US
2020-03-08,Palo Alto,Iowa,0,0,US
2020-03-09,Palo Alto,Iowa,0,0,US
2020-03-10,Palo Alto,Iowa,0,0,US
2020-03-11,Palo Alto,Iowa,0,0,US
2020-03-12,Palo Alto,Iowa,0,0,US
2020-03-13,Palo Alto,Iowa,0,0,US
2020-03-14,Palo Alto,Iowa,0,0,US
2020-03-15,Palo Alto,Iowa,0,0,US
2020-03-16,Palo Alto,Iowa,0,0,US
2020-03-17,Palo Alto,Iowa,0,0,US
2020-03-18,Palo Alto,Iowa,0,0,US
2020-03-19,Palo Alto,Iowa,0,0,US
2020-03-20,Palo Alto,Iowa,0,0,US
2020-03-21,Palo Alto,Iowa,0,0,US
2020-03-22,Palo Alto,Iowa,0,0,US
2020-03-23,Palo Alto,Iowa,0,0,US
2020-03-24,Palo Alto,Iowa,0,0,US
2020-03-25,Palo Alto,Iowa,0,0,US
2020-03-26,Palo Alto,Iowa,0,0,US
2020-03-27,Palo Alto,Iowa,0,0,US
2020-03-28,Palo Alto,Iowa,0,0,US
2020-03-29,Palo Alto,Iowa,0,0,US
2020-03-30,Palo Alto,Iowa,0,0,US
2020-03-31,Palo Alto,Iowa,0,0,US
2020-04-01,Palo Alto,Iowa,0,0,US
2020-04-02,Palo Alto,Iowa,0,0,US
2020-04-03,Palo Alto,Iowa,0,0,US
2020-04-04,Palo Alto,Iowa,0,0,US
2020-04-05,Palo Alto,Iowa,0,0,US
2020-04-06,Palo Alto,Iowa,0,0,US
2020-04-07,Palo Alto,Iowa,0,0,US
2020-04-08,Palo Alto,Iowa,0,0,US
2020-04-09,Palo Alto,Iowa,0,0,US
2020-04-10,Palo Alto,Iowa,0,0,US
2020-04-11,Palo Alto,Iowa,0,0,US
2020-04-12,Palo Alto,Iowa,0,0,US
2020-04-13,Palo Alto,Iowa,0,0,US
2020-04-14,Palo Alto,Iowa,0,0,US
2020-04-15,Palo Alto,Iowa,0,0,US
2020-04-16,Palo Alto,Iowa,0,0,US
2020-04-17,Palo Alto,Iowa,0,0,US
2020-04-18,Palo Alto,Iowa,0,0,US
2020-04-19,Palo Alto,Iowa,0,0,US
2020-04-20,Palo Alto,Iowa,0,0,US
2020-04-21,Palo Alto,Iowa,0,0,US
2020-04-22,Palo Alto,Iowa,0,0,US
2020-04-23,Palo Alto,Iowa,0,0,US
2020-04-24,Palo Alto,Iowa,0,0,US
2020-04-25,Palo Alto,Iowa,0,0,US
2020-04-26,Palo Alto,Iowa,0,0,US
2020-04-27,Palo Alto,Iowa,0,0,US
2020-04-28,Palo Alto,Iowa,0,0,US
2020-04-29,Palo Alto,Iowa,0,0,US
2020-04-30,Palo Alto,Iowa,0,0,US
2020-05-01,Palo Alto,Iowa,0,0,US
2020-05-02,Palo Alto,Iowa,0,0,US
2020-05-03,Palo Alto,Iowa,0,0,US
2020-05-04,Palo Alto,Iowa,0,0,US
2020-05-05,Palo Alto,Iowa,0,0,US
2020-05-06,Palo Alto,Iowa,0,0,US
2020-05-07,Palo Alto,Iowa,0,0,US
2020-05-08,Palo Alto,Iowa,1,0,US
2020-05-09,Palo Alto,Iowa,1,0,US
2020-05-10,Palo Alto,Iowa,1,0,US
2020-05-11,Palo Alto,Iowa,1,0,US
2020-05-12,Palo Alto,Iowa,1,0,US
2020-05-13,Palo Alto,Iowa,1,0,US
2020-05-14,Palo Alto,Iowa,1,0,US
2020-05-15,Palo Alto,Iowa,1,0,US
2020-05-16,Palo Alto,Iowa,2,0,US
2020-05-17,Palo Alto,Iowa,2,0,US
2020-05-18,Palo Alto,Iowa,2,0,US
2020-05-19,Palo Alto,Iowa,2,0,US
2020-05-20,Palo Alto,Iowa,2,0,US
2020-05-21,Palo Alto,Iowa,3,0,US
2020-05-22,Palo Alto,Iowa,3,0,US
2020-05-23,Palo Alto,Iowa,3,0,US
2020-05-24,Palo Alto,Iowa,3,0,US
2020-05-25,Palo Alto,Iowa,3,0,US
2020-05-26,Palo Alto,Iowa,3,0,US
2020-05-27,Palo Alto,Iowa,3,0,US
2020-05-28,Palo Alto,Iowa,3,0,US
2020-05-29,Palo Alto,Iowa,6,0,US
2020-05-30,Palo Alto,Iowa,6,0,US
2020-05-31,Palo Alto,Iowa,6,0,US
2020-06-01,Palo Alto,Iowa,7,0,US
2020-06-02,Palo Alto,Iowa,7,0,US
2020-06-03,Palo Alto,Iowa,7,0,US
2020-06-04,Palo Alto,Iowa,7,0,US
2020-06-05,Palo Alto,Iowa,7,0,US
2020-06-06,Palo Alto,Iowa,7,0,US
2020-06-07,Palo Alto,Iowa,7,0,US
2020-06-08,Palo Alto,Iowa,8,0,US
2020-06-09,Palo Alto,Iowa,9,0,US
2020-06-10,Palo Alto,Iowa,9,0,US
2020-06-11,Palo Alto,Iowa,12,0,US
2020-06-12,Palo Alto,Iowa,13,0,US
2020-06-13,Palo Alto,Iowa,13,0,US
2020-06-14,Palo Alto,Iowa,13,0,US
2020-06-15,Palo Alto,Iowa,16,0,US
2020-06-16,Palo Alto,Iowa,16,0,US
2020-06-17,Palo Alto,Iowa,16,0,US
2020-06-18,Palo Alto,Iowa,18,0,US
2020-06-19,Palo Alto,Iowa,19,0,US
2020-06-20,Palo Alto,Iowa,21,0,US
2020-06-21,Palo Alto,Iowa,22,0,US
2020-06-22,Palo Alto,Iowa,22,0,US
2020-06-23,Palo Alto,Iowa,23,0,US
2020-06-24,Palo Alto,Iowa,23,0,US
2020-06-25,Palo Alto,Iowa,24,0,US
2020-06-26,Palo Alto,Iowa,24,0,US
2020-06-27,Palo Alto,Iowa,24,0,US
2020-06-28,Palo Alto,Iowa,29,0,US
2020-06-29,Palo Alto,Iowa,30,0,US
2020-06-30,Palo Alto,Iowa,31,0,US
2020-07-01,Palo Alto,Iowa,31,0,US
2020-07-02,Palo Alto,Iowa,36,0,US
2020-07-03,Palo Alto,Iowa,36,0,US
2020-07-04,Palo Alto,Iowa,41,0,US
2020-07-05,Palo Alto,Iowa,41,0,US
2020-07-06,Palo Alto,Iowa,41,0,US
2020-07-07,Palo Alto,Iowa,41,0,US
2020-07-08,Palo Alto,Iowa,42,0,US
2020-07-09,Palo Alto,Iowa,46,0,US
2020-07-10,Palo Alto,Iowa,48,0,US
