Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Scott,Mississippi,0,0,US
2020-01-23,Scott,Mississippi,0,0,US
2020-01-24,Scott,Mississippi,0,0,US
2020-01-25,Scott,Mississippi,0,0,US
2020-01-26,Scott,Mississippi,0,0,US
2020-01-27,Scott,Mississippi,0,0,US
2020-01-28,Scott,Mississippi,0,0,US
2020-01-29,Scott,Mississippi,0,0,US
2020-01-30,Scott,Mississippi,0,0,US
2020-01-31,Scott,Mississippi,0,0,US
2020-02-01,Scott,Mississippi,0,0,US
2020-02-02,Scott,Mississippi,0,0,US
2020-02-03,Scott,Mississippi,0,0,US
2020-02-04,Scott,Mississippi,0,0,US
2020-02-05,Scott,Mississippi,0,0,US
2020-02-06,Scott,Mississippi,0,0,US
2020-02-07,Scott,Mississippi,0,0,US
2020-02-08,Scott,Mississippi,0,0,US
2020-02-09,Scott,Mississippi,0,0,US
2020-02-10,Scott,Mississippi,0,0,US
2020-02-11,Scott,Mississippi,0,0,US
2020-02-12,Scott,Mississippi,0,0,US
2020-02-13,Scott,Mississippi,0,0,US
2020-02-14,Scott,Mississippi,0,0,US
2020-02-15,Scott,Mississippi,0,0,US
2020-02-16,Scott,Mississippi,0,0,US
2020-02-17,Scott,Mississippi,0,0,US
2020-02-18,Scott,Mississippi,0,0,US
2020-02-19,Scott,Mississippi,0,0,US
2020-02-20,Scott,Mississippi,0,0,US
2020-02-21,Scott,Mississippi,0,0,US
2020-02-22,Scott,Mississippi,0,0,US
2020-02-23,Scott,Mississippi,0,0,US
2020-02-24,Scott,Mississippi,0,0,US
2020-02-25,Scott,Mississippi,0,0,US
2020-02-26,Scott,Mississippi,0,0,US
2020-02-27,Scott,Mississippi,0,0,US
2020-02-28,Scott,Mississippi,0,0,US
2020-02-29,Scott,Mississippi,0,0,US
2020-03-01,Scott,Mississippi,0,0,US
2020-03-02,Scott,Mississippi,0,0,US
2020-03-03,Scott,Mississippi,0,0,US
2020-03-04,Scott,Mississippi,0,0,US
2020-03-05,Scott,Mississippi,0,0,US
2020-03-06,Scott,Mississippi,0,0,US
2020-03-07,Scott,Mississippi,0,0,US
2020-03-08,Scott,Mississippi,0,0,US
2020-03-09,Scott,Mississippi,0,0,US
2020-03-10,Scott,Mississippi,0,0,US
2020-03-11,Scott,Mississippi,0,0,US
2020-03-12,Scott,Mississippi,0,0,US
2020-03-13,Scott,Mississippi,0,0,US
2020-03-14,Scott,Mississippi,0,0,US
2020-03-15,Scott,Mississippi,0,0,US
2020-03-16,Scott,Mississippi,0,0,US
2020-03-17,Scott,Mississippi,0,0,US
2020-03-18,Scott,Mississippi,0,0,US
2020-03-19,Scott,Mississippi,0,0,US
2020-03-20,Scott,Mississippi,0,0,US
2020-03-21,Scott,Mississippi,0,0,US
