Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Jefferson,Idaho,0,0,US
2020-01-23,Jefferson,Idaho,0,0,US
2020-01-24,Jefferson,Idaho,0,0,US
2020-01-25,Jefferson,Idaho,0,0,US
2020-01-26,Jefferson,Idaho,0,0,US
2020-01-27,Jefferson,Idaho,0,0,US
2020-01-28,Jefferson,Idaho,0,0,US
2020-01-29,Jefferson,Idaho,0,0,US
2020-01-30,Jefferson,Idaho,0,0,US
2020-01-31,Jefferson,Idaho,0,0,US
2020-02-01,Jefferson,Idaho,0,0,US
2020-02-02,Jefferson,Idaho,0,0,US
2020-02-03,Jefferson,Idaho,0,0,US
2020-02-04,Jefferson,Idaho,0,0,US
2020-02-05,Jefferson,Idaho,0,0,US
2020-02-06,Jefferson,Idaho,0,0,US
2020-02-07,Jefferson,Idaho,0,0,US
2020-02-08,Jefferson,Idaho,0,0,US
2020-02-09,Jefferson,Idaho,0,0,US
2020-02-10,Jefferson,Idaho,0,0,US
2020-02-11,Jefferson,Idaho,0,0,US
2020-02-12,Jefferson,Idaho,0,0,US
2020-02-13,Jefferson,Idaho,0,0,US
2020-02-14,Jefferson,Idaho,0,0,US
2020-02-15,Jefferson,Idaho,0,0,US
2020-02-16,Jefferson,Idaho,0,0,US
2020-02-17,Jefferson,Idaho,0,0,US
2020-02-18,Jefferson,Idaho,0,0,US
2020-02-19,Jefferson,Idaho,0,0,US
2020-02-20,Jefferson,Idaho,0,0,US
2020-02-21,Jefferson,Idaho,0,0,US
2020-02-22,Jefferson,Idaho,0,0,US
2020-02-23,Jefferson,Idaho,0,0,US
2020-02-24,Jefferson,Idaho,0,0,US
2020-02-25,Jefferson,Idaho,0,0,US
2020-02-26,Jefferson,Idaho,0,0,US
2020-02-27,Jefferson,Idaho,0,0,US
2020-02-28,Jefferson,Idaho,0,0,US
2020-02-29,Jefferson,Idaho,0,0,US
2020-03-01,Jefferson,Idaho,0,0,US
2020-03-02,Jefferson,Idaho,0,0,US
2020-03-03,Jefferson,Idaho,0,0,US
2020-03-04,Jefferson,Idaho,0,0,US
2020-03-05,Jefferson,Idaho,0,0,US
2020-03-06,Jefferson,Idaho,0,0,US
2020-03-07,Jefferson,Idaho,0,0,US
2020-03-08,Jefferson,Idaho,0,0,US
2020-03-09,Jefferson,Idaho,0,0,US
2020-03-10,Jefferson,Idaho,0,0,US
2020-03-11,Jefferson,Idaho,0,0,US
2020-03-12,Jefferson,Idaho,0,0,US
2020-03-13,Jefferson,Idaho,0,0,US
2020-03-14,Jefferson,Idaho,0,0,US
2020-03-15,Jefferson,Idaho,0,0,US
2020-03-16,Jefferson,Idaho,0,0,US
2020-03-17,Jefferson,Idaho,0,0,US
2020-03-18,Jefferson,Idaho,0,0,US
2020-03-19,Jefferson,Idaho,0,0,US
2020-03-20,Jefferson,Idaho,0,0,US
2020-03-21,Jefferson,Idaho,0,0,US
2020-03-22,Jefferson,Idaho,0,0,US
2020-03-23,Jefferson,Idaho,0,0,US
2020-03-24,Jefferson,Idaho,2,0,US
2020-03-25,Jefferson,Idaho,2,0,US
2020-03-26,Jefferson,Idaho,2,0,US
2020-03-27,Jefferson,Idaho,2,0,US
2020-03-28,Jefferson,Idaho,2,0,US
2020-03-29,Jefferson,Idaho,2,0,US
2020-03-30,Jefferson,Idaho,2,0,US
2020-03-31,Jefferson,Idaho,2,0,US
2020-04-01,Jefferson,Idaho,3,0,US
2020-04-02,Jefferson,Idaho,3,0,US
2020-04-03,Jefferson,Idaho,3,0,US
2020-04-04,Jefferson,Idaho,3,0,US
2020-04-05,Jefferson,Idaho,3,0,US
2020-04-06,Jefferson,Idaho,4,0,US
2020-04-07,Jefferson,Idaho,4,0,US
2020-04-08,Jefferson,Idaho,4,0,US
2020-04-09,Jefferson,Idaho,4,0,US
2020-04-10,Jefferson,Idaho,4,0,US
2020-04-11,Jefferson,Idaho,4,0,US
2020-04-12,Jefferson,Idaho,4,0,US
2020-04-13,Jefferson,Idaho,4,0,US
2020-04-14,Jefferson,Idaho,4,0,US
2020-04-15,Jefferson,Idaho,4,0,US
2020-04-16,Jefferson,Idaho,5,0,US
2020-04-17,Jefferson,Idaho,5,0,US
2020-04-18,Jefferson,Idaho,5,0,US
2020-04-19,Jefferson,Idaho,5,0,US
2020-04-20,Jefferson,Idaho,5,0,US
2020-04-21,Jefferson,Idaho,5,0,US
2020-04-22,Jefferson,Idaho,5,0,US
2020-04-23,Jefferson,Idaho,5,0,US
2020-04-24,Jefferson,Idaho,5,0,US
2020-04-25,Jefferson,Idaho,5,0,US
2020-04-26,Jefferson,Idaho,5,0,US
2020-04-27,Jefferson,Idaho,5,0,US
2020-04-28,Jefferson,Idaho,5,0,US
2020-04-29,Jefferson,Idaho,5,0,US
2020-04-30,Jefferson,Idaho,5,0,US
2020-05-01,Jefferson,Idaho,5,0,US
2020-05-02,Jefferson,Idaho,5,0,US
2020-05-03,Jefferson,Idaho,5,0,US
2020-05-04,Jefferson,Idaho,5,0,US
2020-05-05,Jefferson,Idaho,5,0,US
2020-05-06,Jefferson,Idaho,5,0,US
2020-05-07,Jefferson,Idaho,5,0,US
2020-05-08,Jefferson,Idaho,5,0,US
2020-05-09,Jefferson,Idaho,5,0,US
2020-05-10,Jefferson,Idaho,5,0,US
2020-05-11,Jefferson,Idaho,5,0,US
2020-05-12,Jefferson,Idaho,5,0,US
2020-05-13,Jefferson,Idaho,5,0,US
2020-05-14,Jefferson,Idaho,5,0,US
2020-05-15,Jefferson,Idaho,5,0,US
2020-05-16,Jefferson,Idaho,7,0,US
2020-05-17,Jefferson,Idaho,7,0,US
2020-05-18,Jefferson,Idaho,7,0,US
2020-05-19,Jefferson,Idaho,7,0,US
2020-05-20,Jefferson,Idaho,7,0,US
2020-05-21,Jefferson,Idaho,7,0,US
2020-05-22,Jefferson,Idaho,7,0,US
2020-05-23,Jefferson,Idaho,7,0,US
2020-05-24,Jefferson,Idaho,7,0,US
2020-05-25,Jefferson,Idaho,7,0,US
2020-05-26,Jefferson,Idaho,7,0,US
2020-05-27,Jefferson,Idaho,7,0,US
2020-05-28,Jefferson,Idaho,7,0,US
2020-05-29,Jefferson,Idaho,7,0,US
2020-05-30,Jefferson,Idaho,7,0,US
2020-05-31,Jefferson,Idaho,7,0,US
2020-06-01,Jefferson,Idaho,7,0,US
2020-06-02,Jefferson,Idaho,7,0,US
2020-06-03,Jefferson,Idaho,7,0,US
2020-06-04,Jefferson,Idaho,9,0,US
2020-06-05,Jefferson,Idaho,9,0,US
2020-06-06,Jefferson,Idaho,9,0,US
2020-06-07,Jefferson,Idaho,9,0,US
2020-06-08,Jefferson,Idaho,9,0,US
2020-06-09,Jefferson,Idaho,9,0,US
2020-06-10,Jefferson,Idaho,9,0,US
2020-06-11,Jefferson,Idaho,9,0,US
2020-06-12,Jefferson,Idaho,10,0,US
2020-06-13,Jefferson,Idaho,10,0,US
2020-06-14,Jefferson,Idaho,12,0,US
2020-06-15,Jefferson,Idaho,12,0,US
2020-06-16,Jefferson,Idaho,12,0,US
2020-06-17,Jefferson,Idaho,11,0,US
2020-06-18,Jefferson,Idaho,11,0,US
2020-06-19,Jefferson,Idaho,11,0,US
2020-06-20,Jefferson,Idaho,12,0,US
2020-06-21,Jefferson,Idaho,12,0,US
2020-06-22,Jefferson,Idaho,15,0,US
