Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pike,Illinois,0,0,US
2020-01-23,Pike,Illinois,0,0,US
2020-01-24,Pike,Illinois,0,0,US
2020-01-25,Pike,Illinois,0,0,US
2020-01-26,Pike,Illinois,0,0,US
2020-01-27,Pike,Illinois,0,0,US
2020-01-28,Pike,Illinois,0,0,US
2020-01-29,Pike,Illinois,0,0,US
2020-01-30,Pike,Illinois,0,0,US
2020-01-31,Pike,Illinois,0,0,US
2020-02-01,Pike,Illinois,0,0,US
2020-02-02,Pike,Illinois,0,0,US
2020-02-03,Pike,Illinois,0,0,US
2020-02-04,Pike,Illinois,0,0,US
2020-02-05,Pike,Illinois,0,0,US
2020-02-06,Pike,Illinois,0,0,US
2020-02-07,Pike,Illinois,0,0,US
2020-02-08,Pike,Illinois,0,0,US
2020-02-09,Pike,Illinois,0,0,US
2020-02-10,Pike,Illinois,0,0,US
2020-02-11,Pike,Illinois,0,0,US
2020-02-12,Pike,Illinois,0,0,US
2020-02-13,Pike,Illinois,0,0,US
2020-02-14,Pike,Illinois,0,0,US
2020-02-15,Pike,Illinois,0,0,US
2020-02-16,Pike,Illinois,0,0,US
2020-02-17,Pike,Illinois,0,0,US
2020-02-18,Pike,Illinois,0,0,US
2020-02-19,Pike,Illinois,0,0,US
2020-02-20,Pike,Illinois,0,0,US
2020-02-21,Pike,Illinois,0,0,US
2020-02-22,Pike,Illinois,0,0,US
2020-02-23,Pike,Illinois,0,0,US
2020-02-24,Pike,Illinois,0,0,US
2020-02-25,Pike,Illinois,0,0,US
2020-02-26,Pike,Illinois,0,0,US
2020-02-27,Pike,Illinois,0,0,US
2020-02-28,Pike,Illinois,0,0,US
2020-02-29,Pike,Illinois,0,0,US
2020-03-01,Pike,Illinois,0,0,US
2020-03-02,Pike,Illinois,0,0,US
2020-03-03,Pike,Illinois,0,0,US
2020-03-04,Pike,Illinois,0,0,US
2020-03-05,Pike,Illinois,0,0,US
2020-03-06,Pike,Illinois,0,0,US
2020-03-07,Pike,Illinois,0,0,US
2020-03-08,Pike,Illinois,0,0,US
2020-03-09,Pike,Illinois,0,0,US
2020-03-10,Pike,Illinois,0,0,US
2020-03-11,Pike,Illinois,0,0,US
2020-03-12,Pike,Illinois,0,0,US
2020-03-13,Pike,Illinois,0,0,US
