Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Unassigned,Texas,0,0,US
2020-01-23,Unassigned,Texas,0,0,US
2020-01-24,Unassigned,Texas,0,0,US
2020-01-25,Unassigned,Texas,0,0,US
2020-01-26,Unassigned,Texas,0,0,US
2020-01-27,Unassigned,Texas,0,0,US
2020-01-28,Unassigned,Texas,0,0,US
2020-01-29,Unassigned,Texas,0,0,US
2020-01-30,Unassigned,Texas,0,0,US
2020-01-31,Unassigned,Texas,0,0,US
2020-02-01,Unassigned,Texas,0,0,US
2020-02-02,Unassigned,Texas,0,0,US
2020-02-03,Unassigned,Texas,0,0,US
2020-02-04,Unassigned,Texas,0,0,US
2020-02-05,Unassigned,Texas,0,0,US
2020-02-06,Unassigned,Texas,0,0,US
2020-02-07,Unassigned,Texas,0,0,US
2020-02-08,Unassigned,Texas,0,0,US
2020-02-09,Unassigned,Texas,0,0,US
2020-02-10,Unassigned,Texas,0,0,US
2020-02-11,Unassigned,Texas,0,0,US
2020-02-12,Unassigned,Texas,0,0,US
2020-02-13,Unassigned,Texas,0,0,US
2020-02-14,Unassigned,Texas,0,0,US
2020-02-15,Unassigned,Texas,0,0,US
2020-02-16,Unassigned,Texas,0,0,US
2020-02-17,Unassigned,Texas,0,0,US
2020-02-18,Unassigned,Texas,0,0,US
2020-02-19,Unassigned,Texas,0,0,US
2020-02-20,Unassigned,Texas,0,0,US
2020-02-21,Unassigned,Texas,0,0,US
2020-02-22,Unassigned,Texas,0,0,US
2020-02-23,Unassigned,Texas,0,0,US
2020-02-24,Unassigned,Texas,0,0,US
2020-02-25,Unassigned,Texas,0,0,US
2020-02-26,Unassigned,Texas,0,0,US
2020-02-27,Unassigned,Texas,0,0,US
2020-02-28,Unassigned,Texas,0,0,US
2020-02-29,Unassigned,Texas,0,0,US
2020-03-01,Unassigned,Texas,0,0,US
2020-03-02,Unassigned,Texas,0,0,US
2020-03-03,Unassigned,Texas,0,0,US
2020-03-04,Unassigned,Texas,0,0,US
2020-03-05,Unassigned,Texas,0,0,US
2020-03-06,Unassigned,Texas,0,0,US
2020-03-07,Unassigned,Texas,0,0,US
2020-03-08,Unassigned,Texas,0,0,US
2020-03-09,Unassigned,Texas,0,0,US
2020-03-10,Unassigned,Texas,0,0,US
2020-03-11,Unassigned,Texas,0,0,US
2020-03-12,Unassigned,Texas,0,0,US
2020-03-13,Unassigned,Texas,0,0,US
2020-03-14,Unassigned,Texas,0,0,US
2020-03-15,Unassigned,Texas,0,0,US
2020-03-16,Unassigned,Texas,0,0,US
2020-03-17,Unassigned,Texas,0,0,US
2020-03-18,Unassigned,Texas,0,0,US
2020-03-19,Unassigned,Texas,3,0,US
2020-03-20,Unassigned,Texas,3,0,US
2020-03-21,Unassigned,Texas,43,0,US
2020-03-22,Unassigned,Texas,0,0,US
2020-03-23,Unassigned,Texas,0,0,US
2020-03-24,Unassigned,Texas,0,0,US
2020-03-25,Unassigned,Texas,0,0,US
2020-03-26,Unassigned,Texas,0,0,US
2020-03-27,Unassigned,Texas,0,0,US
2020-03-28,Unassigned,Texas,0,0,US
2020-03-29,Unassigned,Texas,0,0,US
2020-03-30,Unassigned,Texas,0,0,US
2020-03-31,Unassigned,Texas,0,0,US
2020-04-01,Unassigned,Texas,12,0,US
2020-04-02,Unassigned,Texas,14,0,US
2020-04-03,Unassigned,Texas,14,0,US
2020-04-04,Unassigned,Texas,15,0,US
2020-04-05,Unassigned,Texas,16,0,US
2020-04-06,Unassigned,Texas,16,0,US
