Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Clay,Illinois,0,0,US
2020-01-23,Clay,Illinois,0,0,US
2020-01-24,Clay,Illinois,0,0,US
2020-01-25,Clay,Illinois,0,0,US
2020-01-26,Clay,Illinois,0,0,US
2020-01-27,Clay,Illinois,0,0,US
2020-01-28,Clay,Illinois,0,0,US
2020-01-29,Clay,Illinois,0,0,US
2020-01-30,Clay,Illinois,0,0,US
2020-01-31,Clay,Illinois,0,0,US
2020-02-01,Clay,Illinois,0,0,US
2020-02-02,Clay,Illinois,0,0,US
2020-02-03,Clay,Illinois,0,0,US
2020-02-04,Clay,Illinois,0,0,US
2020-02-05,Clay,Illinois,0,0,US
2020-02-06,Clay,Illinois,0,0,US
2020-02-07,Clay,Illinois,0,0,US
2020-02-08,Clay,Illinois,0,0,US
2020-02-09,Clay,Illinois,0,0,US
2020-02-10,Clay,Illinois,0,0,US
2020-02-11,Clay,Illinois,0,0,US
2020-02-12,Clay,Illinois,0,0,US
2020-02-13,Clay,Illinois,0,0,US
2020-02-14,Clay,Illinois,0,0,US
2020-02-15,Clay,Illinois,0,0,US
2020-02-16,Clay,Illinois,0,0,US
2020-02-17,Clay,Illinois,0,0,US
2020-02-18,Clay,Illinois,0,0,US
2020-02-19,Clay,Illinois,0,0,US
2020-02-20,Clay,Illinois,0,0,US
2020-02-21,Clay,Illinois,0,0,US
2020-02-22,Clay,Illinois,0,0,US
2020-02-23,Clay,Illinois,0,0,US
2020-02-24,Clay,Illinois,0,0,US
2020-02-25,Clay,Illinois,0,0,US
2020-02-26,Clay,Illinois,0,0,US
2020-02-27,Clay,Illinois,0,0,US
2020-02-28,Clay,Illinois,0,0,US
2020-02-29,Clay,Illinois,0,0,US
2020-03-01,Clay,Illinois,0,0,US
2020-03-02,Clay,Illinois,0,0,US
2020-03-03,Clay,Illinois,0,0,US
2020-03-04,Clay,Illinois,0,0,US
2020-03-05,Clay,Illinois,0,0,US
2020-03-06,Clay,Illinois,0,0,US
2020-03-07,Clay,Illinois,0,0,US
2020-03-08,Clay,Illinois,0,0,US
2020-03-09,Clay,Illinois,0,0,US
2020-03-10,Clay,Illinois,0,0,US
2020-03-11,Clay,Illinois,0,0,US
2020-03-12,Clay,Illinois,0,0,US
2020-03-13,Clay,Illinois,0,0,US
2020-03-14,Clay,Illinois,0,0,US
2020-03-15,Clay,Illinois,0,0,US
2020-03-16,Clay,Illinois,0,0,US
2020-03-17,Clay,Illinois,0,0,US
2020-03-18,Clay,Illinois,0,0,US
2020-03-19,Clay,Illinois,0,0,US
2020-03-20,Clay,Illinois,0,0,US
