Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Clay,Missouri,0,0,US
2020-01-23,Clay,Missouri,0,0,US
2020-01-24,Clay,Missouri,0,0,US
2020-01-25,Clay,Missouri,0,0,US
2020-01-26,Clay,Missouri,0,0,US
2020-01-27,Clay,Missouri,0,0,US
2020-01-28,Clay,Missouri,0,0,US
2020-01-29,Clay,Missouri,0,0,US
2020-01-30,Clay,Missouri,0,0,US
2020-01-31,Clay,Missouri,0,0,US
2020-02-01,Clay,Missouri,0,0,US
2020-02-02,Clay,Missouri,0,0,US
2020-02-03,Clay,Missouri,0,0,US
2020-02-04,Clay,Missouri,0,0,US
2020-02-05,Clay,Missouri,0,0,US
2020-02-06,Clay,Missouri,0,0,US
2020-02-07,Clay,Missouri,0,0,US
2020-02-08,Clay,Missouri,0,0,US
2020-02-09,Clay,Missouri,0,0,US
2020-02-10,Clay,Missouri,0,0,US
2020-02-11,Clay,Missouri,0,0,US
2020-02-12,Clay,Missouri,0,0,US
2020-02-13,Clay,Missouri,0,0,US
2020-02-14,Clay,Missouri,0,0,US
2020-02-15,Clay,Missouri,0,0,US
2020-02-16,Clay,Missouri,0,0,US
2020-02-17,Clay,Missouri,0,0,US
2020-02-18,Clay,Missouri,0,0,US
2020-02-19,Clay,Missouri,0,0,US
2020-02-20,Clay,Missouri,0,0,US
2020-02-21,Clay,Missouri,0,0,US
2020-02-22,Clay,Missouri,0,0,US
2020-02-23,Clay,Missouri,0,0,US
2020-02-24,Clay,Missouri,0,0,US
2020-02-25,Clay,Missouri,0,0,US
2020-02-26,Clay,Missouri,0,0,US
2020-02-27,Clay,Missouri,0,0,US
2020-02-28,Clay,Missouri,0,0,US
2020-02-29,Clay,Missouri,0,0,US
2020-03-01,Clay,Missouri,0,0,US
2020-03-02,Clay,Missouri,0,0,US
2020-03-03,Clay,Missouri,0,0,US
2020-03-04,Clay,Missouri,0,0,US
2020-03-05,Clay,Missouri,0,0,US
2020-03-06,Clay,Missouri,0,0,US
2020-03-07,Clay,Missouri,0,0,US
2020-03-08,Clay,Missouri,0,0,US
2020-03-09,Clay,Missouri,0,0,US
2020-03-10,Clay,Missouri,0,0,US
2020-03-11,Clay,Missouri,0,0,US
2020-03-12,Clay,Missouri,0,0,US
2020-03-13,Clay,Missouri,0,0,US
2020-03-14,Clay,Missouri,0,0,US
2020-03-15,Clay,Missouri,0,0,US
