Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Washington,Kansas,0,0,US
2020-01-23,Washington,Kansas,0,0,US
2020-01-24,Washington,Kansas,0,0,US
2020-01-25,Washington,Kansas,0,0,US
2020-01-26,Washington,Kansas,0,0,US
2020-01-27,Washington,Kansas,0,0,US
2020-01-28,Washington,Kansas,0,0,US
2020-01-29,Washington,Kansas,0,0,US
2020-01-30,Washington,Kansas,0,0,US
2020-01-31,Washington,Kansas,0,0,US
2020-02-01,Washington,Kansas,0,0,US
2020-02-02,Washington,Kansas,0,0,US
2020-02-03,Washington,Kansas,0,0,US
2020-02-04,Washington,Kansas,0,0,US
2020-02-05,Washington,Kansas,0,0,US
2020-02-06,Washington,Kansas,0,0,US
2020-02-07,Washington,Kansas,0,0,US
2020-02-08,Washington,Kansas,0,0,US
2020-02-09,Washington,Kansas,0,0,US
2020-02-10,Washington,Kansas,0,0,US
2020-02-11,Washington,Kansas,0,0,US
2020-02-12,Washington,Kansas,0,0,US
2020-02-13,Washington,Kansas,0,0,US
2020-02-14,Washington,Kansas,0,0,US
2020-02-15,Washington,Kansas,0,0,US
2020-02-16,Washington,Kansas,0,0,US
2020-02-17,Washington,Kansas,0,0,US
2020-02-18,Washington,Kansas,0,0,US
2020-02-19,Washington,Kansas,0,0,US
2020-02-20,Washington,Kansas,0,0,US
2020-02-21,Washington,Kansas,0,0,US
2020-02-22,Washington,Kansas,0,0,US
2020-02-23,Washington,Kansas,0,0,US
2020-02-24,Washington,Kansas,0,0,US
2020-02-25,Washington,Kansas,0,0,US
2020-02-26,Washington,Kansas,0,0,US
2020-02-27,Washington,Kansas,0,0,US
2020-02-28,Washington,Kansas,0,0,US
2020-02-29,Washington,Kansas,0,0,US
2020-03-01,Washington,Kansas,0,0,US
2020-03-02,Washington,Kansas,0,0,US
2020-03-03,Washington,Kansas,0,0,US
2020-03-04,Washington,Kansas,0,0,US
2020-03-05,Washington,Kansas,0,0,US
2020-03-06,Washington,Kansas,0,0,US
2020-03-07,Washington,Kansas,0,0,US
2020-03-08,Washington,Kansas,0,0,US
2020-03-09,Washington,Kansas,0,0,US
2020-03-10,Washington,Kansas,0,0,US
2020-03-11,Washington,Kansas,0,0,US
2020-03-12,Washington,Kansas,0,0,US
2020-03-13,Washington,Kansas,0,0,US
2020-03-14,Washington,Kansas,0,0,US
2020-03-15,Washington,Kansas,0,0,US
2020-03-16,Washington,Kansas,0,0,US
2020-03-17,Washington,Kansas,0,0,US
2020-03-18,Washington,Kansas,0,0,US
2020-03-19,Washington,Kansas,0,0,US
2020-03-20,Washington,Kansas,0,0,US
2020-03-21,Washington,Kansas,0,0,US
2020-03-22,Washington,Kansas,0,0,US
2020-03-23,Washington,Kansas,0,0,US
2020-03-24,Washington,Kansas,0,0,US
2020-03-25,Washington,Kansas,0,0,US
2020-03-26,Washington,Kansas,0,0,US
2020-03-27,Washington,Kansas,0,0,US
2020-03-28,Washington,Kansas,0,0,US
2020-03-29,Washington,Kansas,0,0,US
2020-03-30,Washington,Kansas,0,0,US
2020-03-31,Washington,Kansas,0,0,US
2020-04-01,Washington,Kansas,0,0,US
2020-04-02,Washington,Kansas,0,0,US
2020-04-03,Washington,Kansas,0,0,US
2020-04-04,Washington,Kansas,0,0,US
2020-04-05,Washington,Kansas,0,0,US
2020-04-06,Washington,Kansas,0,0,US
2020-04-07,Washington,Kansas,0,0,US
2020-04-08,Washington,Kansas,0,0,US
2020-04-09,Washington,Kansas,0,0,US
2020-04-10,Washington,Kansas,0,0,US
2020-04-11,Washington,Kansas,0,0,US
2020-04-12,Washington,Kansas,0,0,US
2020-04-13,Washington,Kansas,0,0,US
2020-04-14,Washington,Kansas,0,0,US
2020-04-15,Washington,Kansas,0,0,US
2020-04-16,Washington,Kansas,0,0,US
2020-04-17,Washington,Kansas,0,0,US
2020-04-18,Washington,Kansas,0,0,US
2020-04-19,Washington,Kansas,0,0,US
2020-04-20,Washington,Kansas,0,0,US
2020-04-21,Washington,Kansas,0,0,US
2020-04-22,Washington,Kansas,0,0,US
2020-04-23,Washington,Kansas,0,0,US
2020-04-24,Washington,Kansas,0,0,US
2020-04-25,Washington,Kansas,0,0,US
2020-04-26,Washington,Kansas,0,0,US
2020-04-27,Washington,Kansas,0,0,US
2020-04-28,Washington,Kansas,0,0,US
2020-04-29,Washington,Kansas,0,0,US
2020-04-30,Washington,Kansas,1,0,US
2020-05-01,Washington,Kansas,1,0,US
2020-05-02,Washington,Kansas,0,0,US
2020-05-03,Washington,Kansas,0,0,US
2020-05-04,Washington,Kansas,0,0,US
2020-05-05,Washington,Kansas,0,0,US
2020-05-06,Washington,Kansas,0,0,US
2020-05-07,Washington,Kansas,0,0,US
2020-05-08,Washington,Kansas,0,0,US
2020-05-09,Washington,Kansas,0,0,US
2020-05-10,Washington,Kansas,0,0,US
2020-05-11,Washington,Kansas,0,0,US
2020-05-12,Washington,Kansas,0,0,US
2020-05-13,Washington,Kansas,0,0,US
2020-05-14,Washington,Kansas,0,0,US
2020-05-15,Washington,Kansas,0,0,US
2020-05-16,Washington,Kansas,0,0,US
2020-05-17,Washington,Kansas,0,0,US
2020-05-18,Washington,Kansas,0,0,US
2020-05-19,Washington,Kansas,0,0,US
2020-05-20,Washington,Kansas,0,0,US
2020-05-21,Washington,Kansas,0,0,US
2020-05-22,Washington,Kansas,0,0,US
2020-05-23,Washington,Kansas,0,0,US
2020-05-24,Washington,Kansas,0,0,US
2020-05-25,Washington,Kansas,0,0,US
2020-05-26,Washington,Kansas,0,0,US
2020-05-27,Washington,Kansas,0,0,US
2020-05-28,Washington,Kansas,0,0,US
2020-05-29,Washington,Kansas,0,0,US
2020-05-30,Washington,Kansas,0,0,US
2020-05-31,Washington,Kansas,0,0,US
2020-06-01,Washington,Kansas,0,0,US
2020-06-02,Washington,Kansas,0,0,US
2020-06-03,Washington,Kansas,0,0,US
2020-06-04,Washington,Kansas,0,0,US
2020-06-05,Washington,Kansas,0,0,US
2020-06-06,Washington,Kansas,0,0,US
2020-06-07,Washington,Kansas,0,0,US
2020-06-08,Washington,Kansas,0,0,US
2020-06-09,Washington,Kansas,1,0,US
2020-06-10,Washington,Kansas,1,0,US
2020-06-11,Washington,Kansas,1,0,US
2020-06-12,Washington,Kansas,1,0,US
2020-06-13,Washington,Kansas,1,0,US
2020-06-14,Washington,Kansas,1,0,US
2020-06-15,Washington,Kansas,1,0,US
2020-06-16,Washington,Kansas,1,0,US
2020-06-17,Washington,Kansas,1,0,US
2020-06-18,Washington,Kansas,1,0,US
2020-06-19,Washington,Kansas,1,0,US
2020-06-20,Washington,Kansas,1,0,US
2020-06-21,Washington,Kansas,1,0,US
2020-06-22,Washington,Kansas,1,0,US
2020-06-23,Washington,Kansas,1,0,US
2020-06-24,Washington,Kansas,1,0,US
2020-06-25,Washington,Kansas,1,0,US
2020-06-26,Washington,Kansas,1,0,US
2020-06-27,Washington,Kansas,1,0,US
2020-06-28,Washington,Kansas,1,0,US
2020-06-29,Washington,Kansas,1,0,US
2020-06-30,Washington,Kansas,1,0,US
2020-07-01,Washington,Kansas,1,0,US
2020-07-02,Washington,Kansas,1,0,US
2020-07-03,Washington,Kansas,1,0,US
2020-07-04,Washington,Kansas,1,0,US
2020-07-05,Washington,Kansas,1,0,US
2020-07-06,Washington,Kansas,1,0,US
2020-07-07,Washington,Kansas,1,0,US
2020-07-08,Washington,Kansas,1,0,US
2020-07-09,Washington,Kansas,1,0,US
2020-07-10,Washington,Kansas,1,0,US
2020-07-11,Washington,Kansas,1,0,US
2020-07-12,Washington,Kansas,1,0,US
2020-07-13,Washington,Kansas,1,0,US
2020-07-14,Washington,Kansas,1,0,US
2020-07-15,Washington,Kansas,1,0,US
2020-07-16,Washington,Kansas,1,0,US
2020-07-17,Washington,Kansas,2,0,US
2020-07-18,Washington,Kansas,2,0,US
2020-07-19,Washington,Kansas,2,0,US
2020-07-20,Washington,Kansas,2,0,US
2020-07-21,Washington,Kansas,2,0,US
2020-07-22,Washington,Kansas,2,0,US
2020-07-23,Washington,Kansas,2,0,US
2020-07-24,Washington,Kansas,2,0,US
2020-07-25,Washington,Kansas,2,0,US
2020-07-26,Washington,Kansas,2,0,US
2020-07-27,Washington,Kansas,2,0,US
2020-07-28,Washington,Kansas,2,0,US
2020-07-29,Washington,Kansas,2,0,US
2020-07-30,Washington,Kansas,2,0,US
2020-07-31,Washington,Kansas,2,0,US
2020-08-01,Washington,Kansas,2,0,US
2020-08-02,Washington,Kansas,2,0,US
2020-08-03,Washington,Kansas,2,0,US
2020-08-04,Washington,Kansas,2,0,US
2020-08-05,Washington,Kansas,3,0,US
2020-08-06,Washington,Kansas,3,0,US
2020-08-07,Washington,Kansas,1,0,US
2020-08-08,Washington,Kansas,1,0,US
2020-08-09,Washington,Kansas,1,0,US
2020-08-10,Washington,Kansas,1,0,US
2020-08-11,Washington,Kansas,1,0,US
2020-08-12,Washington,Kansas,1,0,US
2020-08-13,Washington,Kansas,1,0,US
2020-08-14,Washington,Kansas,1,0,US
2020-08-15,Washington,Kansas,1,0,US
2020-08-16,Washington,Kansas,1,0,US
2020-08-17,Washington,Kansas,2,0,US
2020-08-18,Washington,Kansas,2,0,US
2020-08-19,Washington,Kansas,2,0,US
2020-08-20,Washington,Kansas,2,0,US
2020-08-21,Washington,Kansas,2,0,US
2020-08-22,Washington,Kansas,2,0,US
2020-08-23,Washington,Kansas,2,0,US
2020-08-24,Washington,Kansas,2,0,US
2020-08-25,Washington,Kansas,2,0,US
2020-08-26,Washington,Kansas,3,0,US
2020-08-27,Washington,Kansas,3,0,US
2020-08-28,Washington,Kansas,5,0,US
2020-08-29,Washington,Kansas,5,0,US
2020-08-30,Washington,Kansas,5,0,US
2020-08-31,Washington,Kansas,9,0,US
2020-09-01,Washington,Kansas,9,0,US
2020-09-02,Washington,Kansas,12,0,US
2020-09-03,Washington,Kansas,12,0,US
2020-09-04,Washington,Kansas,15,0,US
2020-09-05,Washington,Kansas,15,0,US
2020-09-06,Washington,Kansas,15,0,US
2020-09-07,Washington,Kansas,15,0,US
2020-09-08,Washington,Kansas,15,0,US
2020-09-09,Washington,Kansas,16,0,US
2020-09-10,Washington,Kansas,16,0,US
2020-09-11,Washington,Kansas,16,0,US
2020-09-12,Washington,Kansas,16,0,US
2020-09-13,Washington,Kansas,16,0,US
2020-09-14,Washington,Kansas,16,0,US
2020-09-15,Washington,Kansas,16,0,US
2020-09-16,Washington,Kansas,16,0,US
2020-09-17,Washington,Kansas,16,0,US
2020-09-18,Washington,Kansas,16,0,US
2020-09-19,Washington,Kansas,16,0,US
2020-09-20,Washington,Kansas,16,0,US
2020-09-21,Washington,Kansas,17,0,US
2020-09-22,Washington,Kansas,17,0,US
2020-09-23,Washington,Kansas,17,0,US
2020-09-24,Washington,Kansas,17,0,US
2020-09-25,Washington,Kansas,17,0,US
2020-09-26,Washington,Kansas,17,0,US
2020-09-27,Washington,Kansas,20,0,US
2020-09-28,Washington,Kansas,20,0,US
2020-09-29,Washington,Kansas,22,0,US
2020-09-30,Washington,Kansas,22,0,US
2020-10-01,Washington,Kansas,22,0,US
2020-10-02,Washington,Kansas,22,0,US
2020-10-03,Washington,Kansas,22,0,US
2020-10-04,Washington,Kansas,24,0,US
2020-10-05,Washington,Kansas,24,0,US
2020-10-06,Washington,Kansas,25,0,US
2020-10-07,Washington,Kansas,25,0,US
2020-10-08,Washington,Kansas,26,0,US
2020-10-09,Washington,Kansas,26,0,US
2020-10-10,Washington,Kansas,26,0,US
2020-10-11,Washington,Kansas,27,0,US
2020-10-12,Washington,Kansas,27,0,US
2020-10-13,Washington,Kansas,26,0,US
2020-10-14,Washington,Kansas,26,0,US
2020-10-15,Washington,Kansas,28,0,US
2020-10-16,Washington,Kansas,28,0,US
2020-10-17,Washington,Kansas,28,0,US
2020-10-18,Washington,Kansas,30,0,US
2020-10-19,Washington,Kansas,30,0,US
2020-10-20,Washington,Kansas,32,0,US
2020-10-21,Washington,Kansas,32,0,US
2020-10-22,Washington,Kansas,32,0,US
2020-10-23,Washington,Kansas,32,0,US
2020-10-24,Washington,Kansas,32,0,US
2020-10-25,Washington,Kansas,33,0,US
2020-10-26,Washington,Kansas,33,0,US
2020-10-27,Washington,Kansas,39,0,US
2020-10-28,Washington,Kansas,39,0,US
2020-10-29,Washington,Kansas,42,0,US
2020-10-30,Washington,Kansas,42,0,US
2020-10-31,Washington,Kansas,42,0,US
2020-11-01,Washington,Kansas,60,0,US
2020-11-02,Washington,Kansas,60,0,US
2020-11-03,Washington,Kansas,71,0,US
2020-11-04,Washington,Kansas,71,0,US
2020-11-05,Washington,Kansas,89,0,US
2020-11-06,Washington,Kansas,89,0,US
2020-11-07,Washington,Kansas,89,0,US
2020-11-08,Washington,Kansas,122,0,US
