Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Howard,Iowa,0,0,US
2020-01-23,Howard,Iowa,0,0,US
2020-01-24,Howard,Iowa,0,0,US
2020-01-25,Howard,Iowa,0,0,US
2020-01-26,Howard,Iowa,0,0,US
2020-01-27,Howard,Iowa,0,0,US
2020-01-28,Howard,Iowa,0,0,US
2020-01-29,Howard,Iowa,0,0,US
2020-01-30,Howard,Iowa,0,0,US
2020-01-31,Howard,Iowa,0,0,US
2020-02-01,Howard,Iowa,0,0,US
2020-02-02,Howard,Iowa,0,0,US
2020-02-03,Howard,Iowa,0,0,US
2020-02-04,Howard,Iowa,0,0,US
2020-02-05,Howard,Iowa,0,0,US
2020-02-06,Howard,Iowa,0,0,US
2020-02-07,Howard,Iowa,0,0,US
2020-02-08,Howard,Iowa,0,0,US
2020-02-09,Howard,Iowa,0,0,US
2020-02-10,Howard,Iowa,0,0,US
2020-02-11,Howard,Iowa,0,0,US
2020-02-12,Howard,Iowa,0,0,US
2020-02-13,Howard,Iowa,0,0,US
2020-02-14,Howard,Iowa,0,0,US
2020-02-15,Howard,Iowa,0,0,US
2020-02-16,Howard,Iowa,0,0,US
2020-02-17,Howard,Iowa,0,0,US
2020-02-18,Howard,Iowa,0,0,US
2020-02-19,Howard,Iowa,0,0,US
2020-02-20,Howard,Iowa,0,0,US
2020-02-21,Howard,Iowa,0,0,US
2020-02-22,Howard,Iowa,0,0,US
2020-02-23,Howard,Iowa,0,0,US
2020-02-24,Howard,Iowa,0,0,US
2020-02-25,Howard,Iowa,0,0,US
2020-02-26,Howard,Iowa,0,0,US
2020-02-27,Howard,Iowa,0,0,US
2020-02-28,Howard,Iowa,0,0,US
2020-02-29,Howard,Iowa,0,0,US
2020-03-01,Howard,Iowa,0,0,US
2020-03-02,Howard,Iowa,0,0,US
2020-03-03,Howard,Iowa,0,0,US
2020-03-04,Howard,Iowa,0,0,US
2020-03-05,Howard,Iowa,0,0,US
2020-03-06,Howard,Iowa,0,0,US
2020-03-07,Howard,Iowa,0,0,US
2020-03-08,Howard,Iowa,0,0,US
2020-03-09,Howard,Iowa,0,0,US
2020-03-10,Howard,Iowa,0,0,US
2020-03-11,Howard,Iowa,0,0,US
2020-03-12,Howard,Iowa,0,0,US
2020-03-13,Howard,Iowa,0,0,US
2020-03-14,Howard,Iowa,0,0,US
2020-03-15,Howard,Iowa,0,0,US
2020-03-16,Howard,Iowa,0,0,US
2020-03-17,Howard,Iowa,0,0,US
2020-03-18,Howard,Iowa,0,0,US
2020-03-19,Howard,Iowa,0,0,US
2020-03-20,Howard,Iowa,0,0,US
2020-03-21,Howard,Iowa,0,0,US
2020-03-22,Howard,Iowa,0,0,US
2020-03-23,Howard,Iowa,0,0,US
2020-03-24,Howard,Iowa,0,0,US
2020-03-25,Howard,Iowa,0,0,US
2020-03-26,Howard,Iowa,0,0,US
2020-03-27,Howard,Iowa,0,0,US
2020-03-28,Howard,Iowa,0,0,US
2020-03-29,Howard,Iowa,0,0,US
2020-03-30,Howard,Iowa,0,0,US
2020-03-31,Howard,Iowa,0,0,US
2020-04-01,Howard,Iowa,0,0,US
2020-04-02,Howard,Iowa,0,0,US
2020-04-03,Howard,Iowa,0,0,US
2020-04-04,Howard,Iowa,1,0,US
2020-04-05,Howard,Iowa,1,0,US
2020-04-06,Howard,Iowa,1,0,US
2020-04-07,Howard,Iowa,1,0,US
2020-04-08,Howard,Iowa,1,0,US
2020-04-09,Howard,Iowa,1,0,US
2020-04-10,Howard,Iowa,1,0,US
2020-04-11,Howard,Iowa,1,0,US
2020-04-12,Howard,Iowa,1,0,US
2020-04-13,Howard,Iowa,1,0,US
2020-04-14,Howard,Iowa,1,0,US
2020-04-15,Howard,Iowa,1,0,US
2020-04-16,Howard,Iowa,2,0,US
2020-04-17,Howard,Iowa,2,0,US
2020-04-18,Howard,Iowa,4,0,US
2020-04-19,Howard,Iowa,4,0,US
2020-04-20,Howard,Iowa,4,0,US
2020-04-21,Howard,Iowa,4,0,US
2020-04-22,Howard,Iowa,4,0,US
2020-04-23,Howard,Iowa,4,0,US
2020-04-24,Howard,Iowa,4,0,US
2020-04-25,Howard,Iowa,4,0,US
2020-04-26,Howard,Iowa,6,0,US
2020-04-27,Howard,Iowa,6,0,US
2020-04-28,Howard,Iowa,7,0,US
2020-04-29,Howard,Iowa,10,0,US
2020-04-30,Howard,Iowa,10,0,US
2020-05-01,Howard,Iowa,10,0,US
2020-05-02,Howard,Iowa,10,0,US
2020-05-03,Howard,Iowa,10,0,US
2020-05-04,Howard,Iowa,12,0,US
2020-05-05,Howard,Iowa,12,0,US
2020-05-06,Howard,Iowa,12,0,US
2020-05-07,Howard,Iowa,13,0,US
2020-05-08,Howard,Iowa,12,0,US
2020-05-09,Howard,Iowa,12,0,US
2020-05-10,Howard,Iowa,12,0,US
2020-05-11,Howard,Iowa,12,0,US
2020-05-12,Howard,Iowa,12,0,US
2020-05-13,Howard,Iowa,12,0,US
2020-05-14,Howard,Iowa,12,0,US
2020-05-15,Howard,Iowa,12,0,US
2020-05-16,Howard,Iowa,12,0,US
2020-05-17,Howard,Iowa,12,0,US
2020-05-18,Howard,Iowa,12,0,US
2020-05-19,Howard,Iowa,12,0,US
2020-05-20,Howard,Iowa,12,0,US
2020-05-21,Howard,Iowa,12,0,US
2020-05-22,Howard,Iowa,12,0,US
2020-05-23,Howard,Iowa,12,0,US
2020-05-24,Howard,Iowa,12,0,US
2020-05-25,Howard,Iowa,12,0,US
2020-05-26,Howard,Iowa,12,0,US
2020-05-27,Howard,Iowa,12,0,US
2020-05-28,Howard,Iowa,12,0,US
2020-05-29,Howard,Iowa,12,0,US
2020-05-30,Howard,Iowa,12,0,US
2020-05-31,Howard,Iowa,12,0,US
2020-06-01,Howard,Iowa,12,0,US
2020-06-02,Howard,Iowa,12,0,US
2020-06-03,Howard,Iowa,12,0,US
2020-06-04,Howard,Iowa,12,0,US
2020-06-05,Howard,Iowa,12,0,US
2020-06-06,Howard,Iowa,12,0,US
2020-06-07,Howard,Iowa,12,0,US
2020-06-08,Howard,Iowa,12,0,US
2020-06-09,Howard,Iowa,12,0,US
2020-06-10,Howard,Iowa,12,0,US
2020-06-11,Howard,Iowa,12,0,US
2020-06-12,Howard,Iowa,12,0,US
2020-06-13,Howard,Iowa,12,0,US
2020-06-14,Howard,Iowa,12,0,US
2020-06-15,Howard,Iowa,12,0,US
2020-06-16,Howard,Iowa,12,0,US
2020-06-17,Howard,Iowa,12,0,US
2020-06-18,Howard,Iowa,12,0,US
2020-06-19,Howard,Iowa,13,0,US
2020-06-20,Howard,Iowa,13,0,US
2020-06-21,Howard,Iowa,14,0,US
2020-06-22,Howard,Iowa,14,0,US
2020-06-23,Howard,Iowa,14,0,US
2020-06-24,Howard,Iowa,14,0,US
2020-06-25,Howard,Iowa,17,0,US
2020-06-26,Howard,Iowa,17,0,US
2020-06-27,Howard,Iowa,17,0,US
2020-06-28,Howard,Iowa,21,0,US
2020-06-29,Howard,Iowa,21,0,US
2020-06-30,Howard,Iowa,22,0,US
2020-07-01,Howard,Iowa,27,0,US
2020-07-02,Howard,Iowa,28,0,US
2020-07-03,Howard,Iowa,29,0,US
2020-07-04,Howard,Iowa,35,0,US
2020-07-05,Howard,Iowa,34,0,US
2020-07-06,Howard,Iowa,34,0,US
2020-07-07,Howard,Iowa,34,0,US
2020-07-08,Howard,Iowa,37,0,US
2020-07-09,Howard,Iowa,37,0,US
2020-07-10,Howard,Iowa,37,0,US
2020-07-11,Howard,Iowa,37,0,US
2020-07-12,Howard,Iowa,37,0,US
2020-07-13,Howard,Iowa,37,0,US
2020-07-14,Howard,Iowa,37,0,US
2020-07-15,Howard,Iowa,37,0,US
2020-07-16,Howard,Iowa,40,0,US
2020-07-17,Howard,Iowa,40,0,US
2020-07-18,Howard,Iowa,41,0,US
2020-07-19,Howard,Iowa,42,0,US
2020-07-20,Howard,Iowa,42,0,US
2020-07-21,Howard,Iowa,42,0,US
2020-07-22,Howard,Iowa,43,0,US
2020-07-23,Howard,Iowa,45,0,US
2020-07-24,Howard,Iowa,45,0,US
2020-07-25,Howard,Iowa,44,0,US
2020-07-26,Howard,Iowa,44,0,US
2020-07-27,Howard,Iowa,47,0,US
2020-07-28,Howard,Iowa,47,0,US
2020-07-29,Howard,Iowa,47,0,US
2020-07-30,Howard,Iowa,47,0,US
2020-07-31,Howard,Iowa,47,0,US
2020-08-01,Howard,Iowa,48,0,US
2020-08-02,Howard,Iowa,48,0,US
2020-08-03,Howard,Iowa,48,0,US
