Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,St. Clair,Missouri,0,0,US
2020-01-23,St. Clair,Missouri,0,0,US
2020-01-24,St. Clair,Missouri,0,0,US
2020-01-25,St. Clair,Missouri,0,0,US
2020-01-26,St. Clair,Missouri,0,0,US
2020-01-27,St. Clair,Missouri,0,0,US
2020-01-28,St. Clair,Missouri,0,0,US
2020-01-29,St. Clair,Missouri,0,0,US
2020-01-30,St. Clair,Missouri,0,0,US
2020-01-31,St. Clair,Missouri,0,0,US
2020-02-01,St. Clair,Missouri,0,0,US
2020-02-02,St. Clair,Missouri,0,0,US
2020-02-03,St. Clair,Missouri,0,0,US
2020-02-04,St. Clair,Missouri,0,0,US
2020-02-05,St. Clair,Missouri,0,0,US
2020-02-06,St. Clair,Missouri,0,0,US
2020-02-07,St. Clair,Missouri,0,0,US
2020-02-08,St. Clair,Missouri,0,0,US
2020-02-09,St. Clair,Missouri,0,0,US
2020-02-10,St. Clair,Missouri,0,0,US
2020-02-11,St. Clair,Missouri,0,0,US
2020-02-12,St. Clair,Missouri,0,0,US
2020-02-13,St. Clair,Missouri,0,0,US
2020-02-14,St. Clair,Missouri,0,0,US
2020-02-15,St. Clair,Missouri,0,0,US
2020-02-16,St. Clair,Missouri,0,0,US
2020-02-17,St. Clair,Missouri,0,0,US
2020-02-18,St. Clair,Missouri,0,0,US
2020-02-19,St. Clair,Missouri,0,0,US
2020-02-20,St. Clair,Missouri,0,0,US
2020-02-21,St. Clair,Missouri,0,0,US
2020-02-22,St. Clair,Missouri,0,0,US
2020-02-23,St. Clair,Missouri,0,0,US
2020-02-24,St. Clair,Missouri,0,0,US
2020-02-25,St. Clair,Missouri,0,0,US
2020-02-26,St. Clair,Missouri,0,0,US
2020-02-27,St. Clair,Missouri,0,0,US
2020-02-28,St. Clair,Missouri,0,0,US
2020-02-29,St. Clair,Missouri,0,0,US
2020-03-01,St. Clair,Missouri,0,0,US
2020-03-02,St. Clair,Missouri,0,0,US
2020-03-03,St. Clair,Missouri,0,0,US
2020-03-04,St. Clair,Missouri,0,0,US
2020-03-05,St. Clair,Missouri,0,0,US
2020-03-06,St. Clair,Missouri,0,0,US
2020-03-07,St. Clair,Missouri,0,0,US
2020-03-08,St. Clair,Missouri,0,0,US
2020-03-09,St. Clair,Missouri,0,0,US
2020-03-10,St. Clair,Missouri,0,0,US
2020-03-11,St. Clair,Missouri,0,0,US
2020-03-12,St. Clair,Missouri,0,0,US
2020-03-13,St. Clair,Missouri,0,0,US
2020-03-14,St. Clair,Missouri,0,0,US
2020-03-15,St. Clair,Missouri,0,0,US
2020-03-16,St. Clair,Missouri,0,0,US
2020-03-17,St. Clair,Missouri,0,0,US
2020-03-18,St. Clair,Missouri,0,0,US
2020-03-19,St. Clair,Missouri,0,0,US
2020-03-20,St. Clair,Missouri,0,0,US
2020-03-21,St. Clair,Missouri,0,0,US
2020-03-22,St. Clair,Missouri,0,0,US
2020-03-23,St. Clair,Missouri,0,0,US
2020-03-24,St. Clair,Missouri,0,0,US
2020-03-25,St. Clair,Missouri,0,0,US
2020-03-26,St. Clair,Missouri,0,0,US
2020-03-27,St. Clair,Missouri,0,0,US
2020-03-28,St. Clair,Missouri,0,0,US
2020-03-29,St. Clair,Missouri,0,0,US
2020-03-30,St. Clair,Missouri,0,0,US
2020-03-31,St. Clair,Missouri,0,0,US
2020-04-01,St. Clair,Missouri,0,0,US
2020-04-02,St. Clair,Missouri,0,0,US
2020-04-03,St. Clair,Missouri,0,0,US
2020-04-04,St. Clair,Missouri,0,0,US
2020-04-05,St. Clair,Missouri,0,0,US
2020-04-06,St. Clair,Missouri,0,0,US
2020-04-07,St. Clair,Missouri,0,0,US
2020-04-08,St. Clair,Missouri,0,0,US
2020-04-09,St. Clair,Missouri,0,0,US
2020-04-10,St. Clair,Missouri,2,0,US
2020-04-11,St. Clair,Missouri,2,0,US
2020-04-12,St. Clair,Missouri,2,0,US
2020-04-13,St. Clair,Missouri,2,0,US
2020-04-14,St. Clair,Missouri,2,0,US
2020-04-15,St. Clair,Missouri,2,0,US
2020-04-16,St. Clair,Missouri,2,0,US
2020-04-17,St. Clair,Missouri,2,0,US
2020-04-18,St. Clair,Missouri,2,0,US
2020-04-19,St. Clair,Missouri,2,0,US
2020-04-20,St. Clair,Missouri,2,0,US
2020-04-21,St. Clair,Missouri,2,0,US
2020-04-22,St. Clair,Missouri,2,0,US
2020-04-23,St. Clair,Missouri,2,0,US
2020-04-24,St. Clair,Missouri,2,0,US
2020-04-25,St. Clair,Missouri,2,0,US
2020-04-26,St. Clair,Missouri,2,0,US
2020-04-27,St. Clair,Missouri,2,0,US
2020-04-28,St. Clair,Missouri,2,0,US
2020-04-29,St. Clair,Missouri,2,0,US
2020-04-30,St. Clair,Missouri,2,0,US
2020-05-01,St. Clair,Missouri,2,0,US
2020-05-02,St. Clair,Missouri,2,0,US
2020-05-03,St. Clair,Missouri,2,0,US
2020-05-04,St. Clair,Missouri,2,0,US
2020-05-05,St. Clair,Missouri,2,0,US
2020-05-06,St. Clair,Missouri,2,0,US
2020-05-07,St. Clair,Missouri,2,0,US
2020-05-08,St. Clair,Missouri,2,0,US
2020-05-09,St. Clair,Missouri,2,0,US
