Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lawrence,Ohio,0,0,US
2020-01-23,Lawrence,Ohio,0,0,US
2020-01-24,Lawrence,Ohio,0,0,US
2020-01-25,Lawrence,Ohio,0,0,US
2020-01-26,Lawrence,Ohio,0,0,US
2020-01-27,Lawrence,Ohio,0,0,US
2020-01-28,Lawrence,Ohio,0,0,US
2020-01-29,Lawrence,Ohio,0,0,US
2020-01-30,Lawrence,Ohio,0,0,US
2020-01-31,Lawrence,Ohio,0,0,US
2020-02-01,Lawrence,Ohio,0,0,US
2020-02-02,Lawrence,Ohio,0,0,US
2020-02-03,Lawrence,Ohio,0,0,US
2020-02-04,Lawrence,Ohio,0,0,US
2020-02-05,Lawrence,Ohio,0,0,US
2020-02-06,Lawrence,Ohio,0,0,US
2020-02-07,Lawrence,Ohio,0,0,US
2020-02-08,Lawrence,Ohio,0,0,US
2020-02-09,Lawrence,Ohio,0,0,US
2020-02-10,Lawrence,Ohio,0,0,US
2020-02-11,Lawrence,Ohio,0,0,US
2020-02-12,Lawrence,Ohio,0,0,US
2020-02-13,Lawrence,Ohio,0,0,US
2020-02-14,Lawrence,Ohio,0,0,US
2020-02-15,Lawrence,Ohio,0,0,US
2020-02-16,Lawrence,Ohio,0,0,US
2020-02-17,Lawrence,Ohio,0,0,US
2020-02-18,Lawrence,Ohio,0,0,US
2020-02-19,Lawrence,Ohio,0,0,US
2020-02-20,Lawrence,Ohio,0,0,US
2020-02-21,Lawrence,Ohio,0,0,US
2020-02-22,Lawrence,Ohio,0,0,US
2020-02-23,Lawrence,Ohio,0,0,US
2020-02-24,Lawrence,Ohio,0,0,US
2020-02-25,Lawrence,Ohio,0,0,US
2020-02-26,Lawrence,Ohio,0,0,US
2020-02-27,Lawrence,Ohio,0,0,US
2020-02-28,Lawrence,Ohio,0,0,US
2020-02-29,Lawrence,Ohio,0,0,US
2020-03-01,Lawrence,Ohio,0,0,US
2020-03-02,Lawrence,Ohio,0,0,US
2020-03-03,Lawrence,Ohio,0,0,US
2020-03-04,Lawrence,Ohio,0,0,US
2020-03-05,Lawrence,Ohio,0,0,US
2020-03-06,Lawrence,Ohio,0,0,US
2020-03-07,Lawrence,Ohio,0,0,US
2020-03-08,Lawrence,Ohio,0,0,US
2020-03-09,Lawrence,Ohio,0,0,US
2020-03-10,Lawrence,Ohio,0,0,US
2020-03-11,Lawrence,Ohio,0,0,US
2020-03-12,Lawrence,Ohio,0,0,US
2020-03-13,Lawrence,Ohio,0,0,US
2020-03-14,Lawrence,Ohio,0,0,US
2020-03-15,Lawrence,Ohio,0,0,US
2020-03-16,Lawrence,Ohio,0,0,US
2020-03-17,Lawrence,Ohio,0,0,US
2020-03-18,Lawrence,Ohio,0,0,US
2020-03-19,Lawrence,Ohio,0,0,US
2020-03-20,Lawrence,Ohio,0,0,US
2020-03-21,Lawrence,Ohio,0,0,US
2020-03-22,Lawrence,Ohio,0,0,US
2020-03-23,Lawrence,Ohio,0,0,US
2020-03-24,Lawrence,Ohio,0,0,US
2020-03-25,Lawrence,Ohio,1,0,US
2020-03-26,Lawrence,Ohio,1,0,US
2020-03-27,Lawrence,Ohio,1,0,US
2020-03-28,Lawrence,Ohio,1,0,US
2020-03-29,Lawrence,Ohio,1,0,US
2020-03-30,Lawrence,Ohio,1,0,US
2020-03-31,Lawrence,Ohio,1,0,US
2020-04-01,Lawrence,Ohio,1,0,US
2020-04-02,Lawrence,Ohio,2,0,US
2020-04-03,Lawrence,Ohio,3,0,US
2020-04-04,Lawrence,Ohio,7,0,US
2020-04-05,Lawrence,Ohio,8,0,US
2020-04-06,Lawrence,Ohio,10,0,US
2020-04-07,Lawrence,Ohio,9,0,US
2020-04-08,Lawrence,Ohio,13,0,US
2020-04-09,Lawrence,Ohio,15,0,US
2020-04-10,Lawrence,Ohio,15,0,US
2020-04-11,Lawrence,Ohio,15,0,US
2020-04-12,Lawrence,Ohio,16,0,US
2020-04-13,Lawrence,Ohio,17,0,US
2020-04-14,Lawrence,Ohio,17,0,US
2020-04-15,Lawrence,Ohio,17,0,US
2020-04-16,Lawrence,Ohio,19,0,US
2020-04-17,Lawrence,Ohio,20,0,US
2020-04-18,Lawrence,Ohio,20,0,US
2020-04-19,Lawrence,Ohio,21,0,US
2020-04-20,Lawrence,Ohio,21,0,US
2020-04-21,Lawrence,Ohio,23,0,US
2020-04-22,Lawrence,Ohio,22,0,US
2020-04-23,Lawrence,Ohio,22,0,US
2020-04-24,Lawrence,Ohio,22,0,US
2020-04-25,Lawrence,Ohio,22,0,US
2020-04-26,Lawrence,Ohio,23,0,US
2020-04-27,Lawrence,Ohio,24,0,US
2020-04-28,Lawrence,Ohio,24,0,US
2020-04-29,Lawrence,Ohio,24,0,US
2020-04-30,Lawrence,Ohio,24,0,US
2020-05-01,Lawrence,Ohio,24,0,US
2020-05-02,Lawrence,Ohio,25,0,US
2020-05-03,Lawrence,Ohio,25,0,US
2020-05-04,Lawrence,Ohio,24,0,US
2020-05-05,Lawrence,Ohio,24,0,US
2020-05-06,Lawrence,Ohio,24,0,US
2020-05-07,Lawrence,Ohio,24,0,US
2020-05-08,Lawrence,Ohio,24,0,US
2020-05-09,Lawrence,Ohio,24,0,US
2020-05-10,Lawrence,Ohio,25,0,US
2020-05-11,Lawrence,Ohio,25,0,US
2020-05-12,Lawrence,Ohio,25,0,US
