Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Sevier,Tennessee,0,0,US
2020-01-23,Sevier,Tennessee,0,0,US
2020-01-24,Sevier,Tennessee,0,0,US
2020-01-25,Sevier,Tennessee,0,0,US
2020-01-26,Sevier,Tennessee,0,0,US
2020-01-27,Sevier,Tennessee,0,0,US
2020-01-28,Sevier,Tennessee,0,0,US
2020-01-29,Sevier,Tennessee,0,0,US
2020-01-30,Sevier,Tennessee,0,0,US
2020-01-31,Sevier,Tennessee,0,0,US
2020-02-01,Sevier,Tennessee,0,0,US
2020-02-02,Sevier,Tennessee,0,0,US
2020-02-03,Sevier,Tennessee,0,0,US
2020-02-04,Sevier,Tennessee,0,0,US
2020-02-05,Sevier,Tennessee,0,0,US
2020-02-06,Sevier,Tennessee,0,0,US
2020-02-07,Sevier,Tennessee,0,0,US
2020-02-08,Sevier,Tennessee,0,0,US
2020-02-09,Sevier,Tennessee,0,0,US
2020-02-10,Sevier,Tennessee,0,0,US
2020-02-11,Sevier,Tennessee,0,0,US
2020-02-12,Sevier,Tennessee,0,0,US
2020-02-13,Sevier,Tennessee,0,0,US
2020-02-14,Sevier,Tennessee,0,0,US
2020-02-15,Sevier,Tennessee,0,0,US
2020-02-16,Sevier,Tennessee,0,0,US
2020-02-17,Sevier,Tennessee,0,0,US
2020-02-18,Sevier,Tennessee,0,0,US
2020-02-19,Sevier,Tennessee,0,0,US
2020-02-20,Sevier,Tennessee,0,0,US
2020-02-21,Sevier,Tennessee,0,0,US
2020-02-22,Sevier,Tennessee,0,0,US
2020-02-23,Sevier,Tennessee,0,0,US
2020-02-24,Sevier,Tennessee,0,0,US
2020-02-25,Sevier,Tennessee,0,0,US
2020-02-26,Sevier,Tennessee,0,0,US
2020-02-27,Sevier,Tennessee,0,0,US
2020-02-28,Sevier,Tennessee,0,0,US
2020-02-29,Sevier,Tennessee,0,0,US
2020-03-01,Sevier,Tennessee,0,0,US
2020-03-02,Sevier,Tennessee,0,0,US
2020-03-03,Sevier,Tennessee,0,0,US
2020-03-04,Sevier,Tennessee,0,0,US
2020-03-05,Sevier,Tennessee,0,0,US
2020-03-06,Sevier,Tennessee,0,0,US
2020-03-07,Sevier,Tennessee,0,0,US
2020-03-08,Sevier,Tennessee,0,0,US
2020-03-09,Sevier,Tennessee,0,0,US
2020-03-10,Sevier,Tennessee,0,0,US
2020-03-11,Sevier,Tennessee,0,0,US
2020-03-12,Sevier,Tennessee,0,0,US
2020-03-13,Sevier,Tennessee,0,0,US
2020-03-14,Sevier,Tennessee,0,0,US
2020-03-15,Sevier,Tennessee,0,0,US
2020-03-16,Sevier,Tennessee,1,0,US
2020-03-17,Sevier,Tennessee,1,0,US
2020-03-18,Sevier,Tennessee,1,0,US
2020-03-19,Sevier,Tennessee,1,0,US
2020-03-20,Sevier,Tennessee,1,0,US
