Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Upshur,Texas,0,0,US
2020-01-23,Upshur,Texas,0,0,US
2020-01-24,Upshur,Texas,0,0,US
2020-01-25,Upshur,Texas,0,0,US
2020-01-26,Upshur,Texas,0,0,US
2020-01-27,Upshur,Texas,0,0,US
2020-01-28,Upshur,Texas,0,0,US
2020-01-29,Upshur,Texas,0,0,US
2020-01-30,Upshur,Texas,0,0,US
2020-01-31,Upshur,Texas,0,0,US
2020-02-01,Upshur,Texas,0,0,US
2020-02-02,Upshur,Texas,0,0,US
2020-02-03,Upshur,Texas,0,0,US
2020-02-04,Upshur,Texas,0,0,US
2020-02-05,Upshur,Texas,0,0,US
2020-02-06,Upshur,Texas,0,0,US
2020-02-07,Upshur,Texas,0,0,US
2020-02-08,Upshur,Texas,0,0,US
2020-02-09,Upshur,Texas,0,0,US
2020-02-10,Upshur,Texas,0,0,US
2020-02-11,Upshur,Texas,0,0,US
2020-02-12,Upshur,Texas,0,0,US
2020-02-13,Upshur,Texas,0,0,US
2020-02-14,Upshur,Texas,0,0,US
2020-02-15,Upshur,Texas,0,0,US
2020-02-16,Upshur,Texas,0,0,US
2020-02-17,Upshur,Texas,0,0,US
2020-02-18,Upshur,Texas,0,0,US
2020-02-19,Upshur,Texas,0,0,US
2020-02-20,Upshur,Texas,0,0,US
2020-02-21,Upshur,Texas,0,0,US
2020-02-22,Upshur,Texas,0,0,US
2020-02-23,Upshur,Texas,0,0,US
2020-02-24,Upshur,Texas,0,0,US
2020-02-25,Upshur,Texas,0,0,US
2020-02-26,Upshur,Texas,0,0,US
2020-02-27,Upshur,Texas,0,0,US
2020-02-28,Upshur,Texas,0,0,US
2020-02-29,Upshur,Texas,0,0,US
2020-03-01,Upshur,Texas,0,0,US
2020-03-02,Upshur,Texas,0,0,US
2020-03-03,Upshur,Texas,0,0,US
2020-03-04,Upshur,Texas,0,0,US
2020-03-05,Upshur,Texas,0,0,US
2020-03-06,Upshur,Texas,0,0,US
2020-03-07,Upshur,Texas,0,0,US
2020-03-08,Upshur,Texas,0,0,US
2020-03-09,Upshur,Texas,0,0,US
2020-03-10,Upshur,Texas,0,0,US
2020-03-11,Upshur,Texas,0,0,US
2020-03-12,Upshur,Texas,0,0,US
2020-03-13,Upshur,Texas,0,0,US
2020-03-14,Upshur,Texas,0,0,US
2020-03-15,Upshur,Texas,0,0,US
2020-03-16,Upshur,Texas,0,0,US
2020-03-17,Upshur,Texas,0,0,US
2020-03-18,Upshur,Texas,0,0,US
2020-03-19,Upshur,Texas,0,0,US
2020-03-20,Upshur,Texas,0,0,US
2020-03-21,Upshur,Texas,1,0,US
2020-03-22,Upshur,Texas,1,0,US
2020-03-23,Upshur,Texas,0,0,US
2020-03-24,Upshur,Texas,0,0,US
2020-03-25,Upshur,Texas,0,0,US
2020-03-26,Upshur,Texas,0,0,US
2020-03-27,Upshur,Texas,0,0,US
2020-03-28,Upshur,Texas,0,0,US
2020-03-29,Upshur,Texas,0,0,US
2020-03-30,Upshur,Texas,2,0,US
2020-03-31,Upshur,Texas,2,0,US
2020-04-01,Upshur,Texas,1,0,US
2020-04-02,Upshur,Texas,2,0,US
2020-04-03,Upshur,Texas,2,0,US
2020-04-04,Upshur,Texas,2,0,US
2020-04-05,Upshur,Texas,2,0,US
2020-04-06,Upshur,Texas,3,0,US
2020-04-07,Upshur,Texas,3,0,US
2020-04-08,Upshur,Texas,3,0,US
2020-04-09,Upshur,Texas,4,0,US
2020-04-10,Upshur,Texas,4,0,US
2020-04-11,Upshur,Texas,4,0,US
2020-04-12,Upshur,Texas,5,0,US
2020-04-13,Upshur,Texas,5,0,US
2020-04-14,Upshur,Texas,5,0,US
2020-04-15,Upshur,Texas,7,0,US
2020-04-16,Upshur,Texas,8,0,US
2020-04-17,Upshur,Texas,8,0,US
2020-04-18,Upshur,Texas,8,0,US
2020-04-19,Upshur,Texas,8,0,US
2020-04-20,Upshur,Texas,8,0,US
2020-04-21,Upshur,Texas,8,0,US
2020-04-22,Upshur,Texas,8,0,US
2020-04-23,Upshur,Texas,8,0,US
2020-04-24,Upshur,Texas,9,0,US
2020-04-25,Upshur,Texas,9,0,US
2020-04-26,Upshur,Texas,9,0,US
2020-04-27,Upshur,Texas,9,0,US
2020-04-28,Upshur,Texas,12,0,US
2020-04-29,Upshur,Texas,12,0,US
2020-04-30,Upshur,Texas,12,0,US
2020-05-01,Upshur,Texas,12,0,US
2020-05-02,Upshur,Texas,12,0,US
2020-05-03,Upshur,Texas,12,0,US
2020-05-04,Upshur,Texas,12,0,US
2020-05-05,Upshur,Texas,12,0,US
2020-05-06,Upshur,Texas,12,0,US
2020-05-07,Upshur,Texas,12,0,US
2020-05-08,Upshur,Texas,12,0,US
2020-05-09,Upshur,Texas,12,0,US
2020-05-10,Upshur,Texas,12,0,US
2020-05-11,Upshur,Texas,12,0,US
2020-05-12,Upshur,Texas,13,0,US
2020-05-13,Upshur,Texas,13,0,US
2020-05-14,Upshur,Texas,13,0,US
2020-05-15,Upshur,Texas,13,0,US
