Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Cumberland,New Jersey,0,0,US
2020-01-23,Cumberland,New Jersey,0,0,US
2020-01-24,Cumberland,New Jersey,0,0,US
2020-01-25,Cumberland,New Jersey,0,0,US
2020-01-26,Cumberland,New Jersey,0,0,US
2020-01-27,Cumberland,New Jersey,0,0,US
2020-01-28,Cumberland,New Jersey,0,0,US
2020-01-29,Cumberland,New Jersey,0,0,US
2020-01-30,Cumberland,New Jersey,0,0,US
2020-01-31,Cumberland,New Jersey,0,0,US
2020-02-01,Cumberland,New Jersey,0,0,US
2020-02-02,Cumberland,New Jersey,0,0,US
2020-02-03,Cumberland,New Jersey,0,0,US
2020-02-04,Cumberland,New Jersey,0,0,US
2020-02-05,Cumberland,New Jersey,0,0,US
2020-02-06,Cumberland,New Jersey,0,0,US
2020-02-07,Cumberland,New Jersey,0,0,US
2020-02-08,Cumberland,New Jersey,0,0,US
2020-02-09,Cumberland,New Jersey,0,0,US
2020-02-10,Cumberland,New Jersey,0,0,US
2020-02-11,Cumberland,New Jersey,0,0,US
2020-02-12,Cumberland,New Jersey,0,0,US
2020-02-13,Cumberland,New Jersey,0,0,US
2020-02-14,Cumberland,New Jersey,0,0,US
2020-02-15,Cumberland,New Jersey,0,0,US
2020-02-16,Cumberland,New Jersey,0,0,US
2020-02-17,Cumberland,New Jersey,0,0,US
2020-02-18,Cumberland,New Jersey,0,0,US
2020-02-19,Cumberland,New Jersey,0,0,US
2020-02-20,Cumberland,New Jersey,0,0,US
2020-02-21,Cumberland,New Jersey,0,0,US
2020-02-22,Cumberland,New Jersey,0,0,US
2020-02-23,Cumberland,New Jersey,0,0,US
2020-02-24,Cumberland,New Jersey,0,0,US
2020-02-25,Cumberland,New Jersey,0,0,US
2020-02-26,Cumberland,New Jersey,0,0,US
2020-02-27,Cumberland,New Jersey,0,0,US
2020-02-28,Cumberland,New Jersey,0,0,US
2020-02-29,Cumberland,New Jersey,0,0,US
2020-03-01,Cumberland,New Jersey,0,0,US
2020-03-02,Cumberland,New Jersey,0,0,US
2020-03-03,Cumberland,New Jersey,0,0,US
2020-03-04,Cumberland,New Jersey,0,0,US
2020-03-05,Cumberland,New Jersey,0,0,US
2020-03-06,Cumberland,New Jersey,0,0,US
