Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Montgomery,Iowa,0,0,US
2020-01-23,Montgomery,Iowa,0,0,US
2020-01-24,Montgomery,Iowa,0,0,US
2020-01-25,Montgomery,Iowa,0,0,US
2020-01-26,Montgomery,Iowa,0,0,US
2020-01-27,Montgomery,Iowa,0,0,US
2020-01-28,Montgomery,Iowa,0,0,US
2020-01-29,Montgomery,Iowa,0,0,US
2020-01-30,Montgomery,Iowa,0,0,US
2020-01-31,Montgomery,Iowa,0,0,US
2020-02-01,Montgomery,Iowa,0,0,US
2020-02-02,Montgomery,Iowa,0,0,US
2020-02-03,Montgomery,Iowa,0,0,US
2020-02-04,Montgomery,Iowa,0,0,US
2020-02-05,Montgomery,Iowa,0,0,US
2020-02-06,Montgomery,Iowa,0,0,US
2020-02-07,Montgomery,Iowa,0,0,US
2020-02-08,Montgomery,Iowa,0,0,US
2020-02-09,Montgomery,Iowa,0,0,US
2020-02-10,Montgomery,Iowa,0,0,US
2020-02-11,Montgomery,Iowa,0,0,US
2020-02-12,Montgomery,Iowa,0,0,US
2020-02-13,Montgomery,Iowa,0,0,US
2020-02-14,Montgomery,Iowa,0,0,US
2020-02-15,Montgomery,Iowa,0,0,US
2020-02-16,Montgomery,Iowa,0,0,US
2020-02-17,Montgomery,Iowa,0,0,US
2020-02-18,Montgomery,Iowa,0,0,US
2020-02-19,Montgomery,Iowa,0,0,US
2020-02-20,Montgomery,Iowa,0,0,US
2020-02-21,Montgomery,Iowa,0,0,US
2020-02-22,Montgomery,Iowa,0,0,US
2020-02-23,Montgomery,Iowa,0,0,US
2020-02-24,Montgomery,Iowa,0,0,US
2020-02-25,Montgomery,Iowa,0,0,US
2020-02-26,Montgomery,Iowa,0,0,US
2020-02-27,Montgomery,Iowa,0,0,US
2020-02-28,Montgomery,Iowa,0,0,US
2020-02-29,Montgomery,Iowa,0,0,US
2020-03-01,Montgomery,Iowa,0,0,US
2020-03-02,Montgomery,Iowa,0,0,US
2020-03-03,Montgomery,Iowa,0,0,US
2020-03-04,Montgomery,Iowa,0,0,US
2020-03-05,Montgomery,Iowa,0,0,US
2020-03-06,Montgomery,Iowa,0,0,US
2020-03-07,Montgomery,Iowa,0,0,US
2020-03-08,Montgomery,Iowa,0,0,US
2020-03-09,Montgomery,Iowa,0,0,US
2020-03-10,Montgomery,Iowa,0,0,US
2020-03-11,Montgomery,Iowa,0,0,US
2020-03-12,Montgomery,Iowa,0,0,US
2020-03-13,Montgomery,Iowa,0,0,US
2020-03-14,Montgomery,Iowa,0,0,US
2020-03-15,Montgomery,Iowa,0,0,US
2020-03-16,Montgomery,Iowa,0,0,US
2020-03-17,Montgomery,Iowa,0,0,US
2020-03-18,Montgomery,Iowa,0,0,US
2020-03-19,Montgomery,Iowa,0,0,US
2020-03-20,Montgomery,Iowa,0,0,US
2020-03-21,Montgomery,Iowa,0,0,US
2020-03-22,Montgomery,Iowa,0,0,US
2020-03-23,Montgomery,Iowa,0,0,US
2020-03-24,Montgomery,Iowa,0,0,US
2020-03-25,Montgomery,Iowa,0,0,US
2020-03-26,Montgomery,Iowa,0,0,US
2020-03-27,Montgomery,Iowa,1,0,US
2020-03-28,Montgomery,Iowa,1,0,US
2020-03-29,Montgomery,Iowa,1,0,US
2020-03-30,Montgomery,Iowa,1,0,US
2020-03-31,Montgomery,Iowa,1,0,US
2020-04-01,Montgomery,Iowa,1,0,US
2020-04-02,Montgomery,Iowa,1,0,US
2020-04-03,Montgomery,Iowa,1,0,US
2020-04-04,Montgomery,Iowa,1,0,US
2020-04-05,Montgomery,Iowa,1,0,US
2020-04-06,Montgomery,Iowa,1,0,US
2020-04-07,Montgomery,Iowa,1,0,US
2020-04-08,Montgomery,Iowa,1,0,US
2020-04-09,Montgomery,Iowa,1,0,US
2020-04-10,Montgomery,Iowa,1,0,US
2020-04-11,Montgomery,Iowa,1,0,US
2020-04-12,Montgomery,Iowa,1,0,US
2020-04-13,Montgomery,Iowa,1,0,US
