Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Franklin,Florida,0,0,US
2020-01-23,Franklin,Florida,0,0,US
2020-01-24,Franklin,Florida,0,0,US
2020-01-25,Franklin,Florida,0,0,US
2020-01-26,Franklin,Florida,0,0,US
2020-01-27,Franklin,Florida,0,0,US
2020-01-28,Franklin,Florida,0,0,US
2020-01-29,Franklin,Florida,0,0,US
2020-01-30,Franklin,Florida,0,0,US
2020-01-31,Franklin,Florida,0,0,US
2020-02-01,Franklin,Florida,0,0,US
2020-02-02,Franklin,Florida,0,0,US
2020-02-03,Franklin,Florida,0,0,US
2020-02-04,Franklin,Florida,0,0,US
2020-02-05,Franklin,Florida,0,0,US
2020-02-06,Franklin,Florida,0,0,US
2020-02-07,Franklin,Florida,0,0,US
2020-02-08,Franklin,Florida,0,0,US
2020-02-09,Franklin,Florida,0,0,US
2020-02-10,Franklin,Florida,0,0,US
2020-02-11,Franklin,Florida,0,0,US
2020-02-12,Franklin,Florida,0,0,US
2020-02-13,Franklin,Florida,0,0,US
2020-02-14,Franklin,Florida,0,0,US
2020-02-15,Franklin,Florida,0,0,US
2020-02-16,Franklin,Florida,0,0,US
2020-02-17,Franklin,Florida,0,0,US
2020-02-18,Franklin,Florida,0,0,US
2020-02-19,Franklin,Florida,0,0,US
2020-02-20,Franklin,Florida,0,0,US
2020-02-21,Franklin,Florida,0,0,US
2020-02-22,Franklin,Florida,0,0,US
2020-02-23,Franklin,Florida,0,0,US
2020-02-24,Franklin,Florida,0,0,US
2020-02-25,Franklin,Florida,0,0,US
2020-02-26,Franklin,Florida,0,0,US
2020-02-27,Franklin,Florida,0,0,US
2020-02-28,Franklin,Florida,0,0,US
2020-02-29,Franklin,Florida,0,0,US
2020-03-01,Franklin,Florida,0,0,US
2020-03-02,Franklin,Florida,0,0,US
2020-03-03,Franklin,Florida,0,0,US
2020-03-04,Franklin,Florida,0,0,US
2020-03-05,Franklin,Florida,0,0,US
2020-03-06,Franklin,Florida,0,0,US
2020-03-07,Franklin,Florida,0,0,US
2020-03-08,Franklin,Florida,0,0,US
2020-03-09,Franklin,Florida,0,0,US
2020-03-10,Franklin,Florida,0,0,US
2020-03-11,Franklin,Florida,0,0,US
2020-03-12,Franklin,Florida,0,0,US
2020-03-13,Franklin,Florida,0,0,US
2020-03-14,Franklin,Florida,0,0,US
2020-03-15,Franklin,Florida,0,0,US
2020-03-16,Franklin,Florida,0,0,US
2020-03-17,Franklin,Florida,0,0,US
2020-03-18,Franklin,Florida,0,0,US
2020-03-19,Franklin,Florida,0,0,US
2020-03-20,Franklin,Florida,0,0,US
2020-03-21,Franklin,Florida,0,0,US
2020-03-22,Franklin,Florida,0,0,US
2020-03-23,Franklin,Florida,0,0,US
