Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Johnson,Wyoming,0,0,US
2020-01-23,Johnson,Wyoming,0,0,US
2020-01-24,Johnson,Wyoming,0,0,US
2020-01-25,Johnson,Wyoming,0,0,US
2020-01-26,Johnson,Wyoming,0,0,US
2020-01-27,Johnson,Wyoming,0,0,US
2020-01-28,Johnson,Wyoming,0,0,US
2020-01-29,Johnson,Wyoming,0,0,US
2020-01-30,Johnson,Wyoming,0,0,US
2020-01-31,Johnson,Wyoming,0,0,US
2020-02-01,Johnson,Wyoming,0,0,US
2020-02-02,Johnson,Wyoming,0,0,US
2020-02-03,Johnson,Wyoming,0,0,US
2020-02-04,Johnson,Wyoming,0,0,US
2020-02-05,Johnson,Wyoming,0,0,US
2020-02-06,Johnson,Wyoming,0,0,US
2020-02-07,Johnson,Wyoming,0,0,US
2020-02-08,Johnson,Wyoming,0,0,US
2020-02-09,Johnson,Wyoming,0,0,US
2020-02-10,Johnson,Wyoming,0,0,US
2020-02-11,Johnson,Wyoming,0,0,US
2020-02-12,Johnson,Wyoming,0,0,US
2020-02-13,Johnson,Wyoming,0,0,US
2020-02-14,Johnson,Wyoming,0,0,US
2020-02-15,Johnson,Wyoming,0,0,US
2020-02-16,Johnson,Wyoming,0,0,US
2020-02-17,Johnson,Wyoming,0,0,US
2020-02-18,Johnson,Wyoming,0,0,US
2020-02-19,Johnson,Wyoming,0,0,US
2020-02-20,Johnson,Wyoming,0,0,US
2020-02-21,Johnson,Wyoming,0,0,US
2020-02-22,Johnson,Wyoming,0,0,US
2020-02-23,Johnson,Wyoming,0,0,US
2020-02-24,Johnson,Wyoming,0,0,US
2020-02-25,Johnson,Wyoming,0,0,US
2020-02-26,Johnson,Wyoming,0,0,US
2020-02-27,Johnson,Wyoming,0,0,US
2020-02-28,Johnson,Wyoming,0,0,US
2020-02-29,Johnson,Wyoming,0,0,US
2020-03-01,Johnson,Wyoming,0,0,US
2020-03-02,Johnson,Wyoming,0,0,US
2020-03-03,Johnson,Wyoming,0,0,US
2020-03-04,Johnson,Wyoming,0,0,US
2020-03-05,Johnson,Wyoming,0,0,US
2020-03-06,Johnson,Wyoming,0,0,US
2020-03-07,Johnson,Wyoming,0,0,US
2020-03-08,Johnson,Wyoming,0,0,US
2020-03-09,Johnson,Wyoming,0,0,US
2020-03-10,Johnson,Wyoming,0,0,US
2020-03-11,Johnson,Wyoming,0,0,US
2020-03-12,Johnson,Wyoming,0,0,US
2020-03-13,Johnson,Wyoming,0,0,US
2020-03-14,Johnson,Wyoming,0,0,US
2020-03-15,Johnson,Wyoming,0,0,US
2020-03-16,Johnson,Wyoming,0,0,US
2020-03-17,Johnson,Wyoming,0,0,US
2020-03-18,Johnson,Wyoming,0,0,US
2020-03-19,Johnson,Wyoming,0,0,US
2020-03-20,Johnson,Wyoming,0,0,US
2020-03-21,Johnson,Wyoming,0,0,US
2020-03-22,Johnson,Wyoming,0,0,US
2020-03-23,Johnson,Wyoming,0,0,US
2020-03-24,Johnson,Wyoming,0,0,US
2020-03-25,Johnson,Wyoming,0,0,US
2020-03-26,Johnson,Wyoming,1,0,US
2020-03-27,Johnson,Wyoming,4,0,US
2020-03-28,Johnson,Wyoming,5,0,US
2020-03-29,Johnson,Wyoming,5,0,US
2020-03-30,Johnson,Wyoming,5,0,US
2020-03-31,Johnson,Wyoming,7,0,US
2020-04-01,Johnson,Wyoming,7,0,US
2020-04-02,Johnson,Wyoming,8,0,US
2020-04-03,Johnson,Wyoming,8,0,US
2020-04-04,Johnson,Wyoming,8,0,US
2020-04-05,Johnson,Wyoming,8,0,US
2020-04-06,Johnson,Wyoming,8,0,US
2020-04-07,Johnson,Wyoming,8,0,US
2020-04-08,Johnson,Wyoming,8,0,US
2020-04-09,Johnson,Wyoming,8,0,US
2020-04-10,Johnson,Wyoming,9,0,US
2020-04-11,Johnson,Wyoming,10,0,US
2020-04-12,Johnson,Wyoming,11,0,US
2020-04-13,Johnson,Wyoming,11,1,US
2020-04-14,Johnson,Wyoming,11,1,US
2020-04-15,Johnson,Wyoming,11,1,US
2020-04-16,Johnson,Wyoming,11,1,US
2020-04-17,Johnson,Wyoming,11,1,US
2020-04-18,Johnson,Wyoming,11,1,US
2020-04-19,Johnson,Wyoming,11,1,US
2020-04-20,Johnson,Wyoming,11,1,US
2020-04-21,Johnson,Wyoming,15,1,US
